rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
52.973684210526315,999,2,-10.0,1,2048,,,,,,,,,,,,
53.5,838,4,-10.0,2,4096,6.627203257009387,1.527024507522583,0.004089534282684326,0.00038871053,10,0.0003,-0.693033549003303,0.0,0.2,-2.016775688389316e-05,,
54.34,795,7,-10.0,3,6144,0.7374953042715788,0.19273747503757477,0.7906779050827026,0.017854454,20,0.0003,-0.6758370816707611,0.09580078125,0.2,-0.005846834494150244,,
56.42,785,10,-10.0,4,8192,0.10768226079526358,0.05573902279138565,0.9881904721260071,0.013805399,30,0.0003,-0.6271379068493843,0.139453125,0.2,-0.013277630196535028,,
,,,,,10000,0.04738021844823379,0.02117007225751877,0.9614373445510864,0.025917416,40,0.0003,-0.5531885238364339,0.216357421875,0.2,-0.01832240180374356,-10.0,45.0
59.5,769,13,-10.0,5,10240,,,,,,,,,,,,
68.94,769,15,-10.0,6,12288,0.04025593281257898,0.026095930486917496,0.9654074311256409,0.05749946,50,0.0003,-0.4035010882653296,0.172021484375,0.2,-0.023497343083727175,,
80.46,767,18,-10.0,7,14336,0.33115161224268375,0.09190148860216141,0.7823640704154968,0.0132466005,60,0.0003,-0.2691250324714929,0.09072265625,0.2,-0.014017008600058034,,
93.61,762,21,-10.0,8,16384,0.3747478811535984,0.16118407249450684,0.7160290479660034,0.0037700948,70,0.0003,-0.2218976396135986,0.053857421875,0.2,-0.007860846989206038,,
106.93,751,24,-10.0,9,18432,0.31709742178209127,0.08713629096746445,0.7909513115882874,0.011560765,80,0.0003,-0.16804093047976493,0.06591796875,0.2,-0.00637107792426832,,
,,,,,20000,0.1779610058758408,0.0645260289311409,0.8900916576385498,0.008667276,90,0.0003,-0.17594006448052824,0.05048828125,0.2,-0.00654096916114213,-10.0,187.0
120.25,739,27,-10.0,10,20480,,,,,,,,,,,,
133.42,743,30,-10.0,11,22528,0.07958310203393922,0.04598680138587952,0.9651625752449036,0.009744658,100,0.0003,-0.13882446282077582,0.048583984375,0.2,-0.007033854004112073,,
147.14,746,32,-10.0,12,24576,0.04434840495523531,0.015867197886109352,0.9812442064285278,0.007414703,110,0.0003,-0.15244262756314128,0.050634765625,0.2,-0.004408094100654125,,
158.78,749,35,-10.0,13,26624,0.01413540336798178,0.00016397982835769653,0.9922849535942078,0.0037591124,120,0.0003,-0.1858960788231343,0.04921875,0.2,-0.003837380520417355,,
168.6,749,38,-10.0,14,28672,0.01744041282800026,0.0013206035364419222,0.9934592843055725,0.0015156348,130,0.0003,-0.16503439298830927,0.026416015625,0.2,-0.0027430574264144525,,
,,,,,30000,0.007657872606796445,0.011779661290347576,0.9963768720626831,0.0055455426,140,0.0003,-0.1917714022565633,0.04091796875,0.2,-0.002957063794019632,-10.0,45.0
174.45,749,40,-10.0,15,30720,,,,,,,,,,,,
176.9,749,43,-10.0,16,32768,0.0066059292985301,-0.006993092130869627,0.9978827238082886,0.0013495125,150,0.0003,-0.18746761763468384,0.030615234375,0.2,-0.004420187749201432,,
182.23,750,46,-10.0,17,34816,0.45122705679968933,0.04013459384441376,0.9188483357429504,0.004517251,160,0.0003,-0.22789006852544844,0.045068359375,0.2,-0.005245939831365831,,
183.0,751,49,-10.0,18,36864,0.003578591302721179,0.020038370043039322,0.9985225796699524,0.0014824147,170,0.0003,-0.21143296784721316,0.01787109375,0.2,0.0009673133463365957,,
183.54,753,51,-10.0,19,38912,0.00279617422438605,0.004050395451486111,0.999065101146698,0.0011476044,180,0.0003,-0.18699643255677073,0.01171875,0.2,0.00012841050629504026,,
