time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/entropy_loss,train/approx_kl,train/n_updates,train/loss,train/policy_gradient_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,-10.0,974,2,2048,53.63157894736842,,,,,,,,,,,,
2,-10.0,768,5,4096,53.73684210526316,5.745067260414362,0.2,0.0003,0.0,-0.6920991292223334,0.0033684846,10,1.2612965106964111,-0.00012010676437057555,0.004747509956359863,,
3,-10.0,725,8,6144,54.47,0.6238025114405901,0.2,0.0003,0.0,-0.6862280786037445,0.0022745337,20,0.13736796379089355,-0.0002047375834081322,0.8386831879615784,,
4,-10.0,713,11,8192,56.13,0.09844043769408017,0.2,0.0003,0.088916015625,-0.6443245815113187,0.015099083,30,0.004636670462787151,-0.012763742750394158,0.9844944477081299,,
,,,,10000,,0.05470818988978863,0.2,0.0003,0.05517578125,-0.5911919739097357,0.010170618,40,0.04424971714615822,-0.011729580242536031,0.9652126431465149,45.0,-10.0
5,-10.0,689,14,10240,58.53,,,,,,,,,,,,
6,-10.0,686,17,12288,61.89,0.04380520244012587,0.2,0.0003,0.1376953125,-0.5264274386689067,0.010295851,50,-0.014733806252479553,-0.013001077974331565,0.9723953008651733,,
7,-10.0,682,20,14336,67.68,0.04605610881699249,0.2,0.0003,0.180712890625,-0.43638397939503193,0.029929593,60,-0.02776026725769043,-0.021245598085806706,0.9735562205314636,,
8,-10.0,682,24,16384,76.89,0.1480223644990474,0.2,0.0003,0.112109375,-0.29695606459863483,0.020419713,70,0.0338156558573246,-0.017397214935044758,0.9002548456192017,,
9,-10.0,682,27,18432,87.03,0.3646564933937043,0.2,0.0003,0.073974609375,-0.2313686042558402,0.0036087737,80,0.1508304327726364,-0.009894162059936207,0.7867108583450317,,
,,,,20000,,0.23840472951997072,0.2,0.0003,0.066796875,-0.16073246686719359,0.018645529,90,0.1050473004579544,-0.010196677106432617,0.877349853515625,45.0,-10.0
10,-10.0,678,30,20480,98.95,,,,,,,,,,,,
11,-10.0,678,33,22528,111.75,0.3168729512952268,0.2,0.0003,0.054541015625,-0.17054841979406773,0.0074924906,100,0.17144319415092468,-0.010338769148802385,0.8545591831207275,,
12,-10.0,672,36,24576,125.02,0.5496224434347823,0.2,0.0003,0.032861328125,-0.17859192602336407,0.008964083,110,0.44212600588798523,-0.00568207792530302,0.7794289588928223,,
13,-10.0,672,39,26624,135.31,0.13435470463009552,0.2,0.0003,0.0404296875,-0.17108752517960965,0.014171004,120,0.016323259100317955,-0.0025056164711713793,0.9261529445648193,,
14,-10.0,672,42,28672,147.51,0.8005502593470737,0.2,0.0003,0.0767578125,-0.28041910389438274,0.021946765,130,0.6991773843765259,-0.012884530908195302,0.8068869113922119,,
,,,,30000,,0.020168940637086054,0.2,0.0003,0.026318359375,-0.16924332198686898,0.0038648224,140,0.004383526276797056,-0.00036306157999206335,0.9831337928771973,45.0,-10.0
15,-10.0,669,45,30720,154.47,,,,,,,,,,,,
16,-10.0,669,48,32768,162.86,0.22363107034761925,0.2,0.0003,0.013134765625,-0.19648120859637858,0.0006173958,150,0.048315949738025665,-0.0020089352852664887,0.9501405358314514,,
17,-10.0,670,51,34816,170.23,0.004920456810941687,0.2,0.0003,0.010009765625,-0.1855375101324171,0.00065073103,160,0.00481137540191412,0.00045620060991495847,0.9949045181274414,,
18,-10.0,667,55,36864,174.62,0.005002007852453971,0.2,0.0003,0.009912109375,-0.1848256719764322,0.0009675429,170,-0.002300383523106575,-0.000637069609365426,0.9972758889198303,,
19,-10.0,665,58,38912,174.4,0.23629598747065755,0.2,0.0003,0.02216796875,-0.20467920433729886,0.002004617,180,0.05312333628535271,-0.001099126621556934,0.9585440754890442,,
,,,,40000,,0.23151469883450773,0.2,0.0003,0.036083984375,-0.22279985966160892,0.0021595154,190,0.021465985104441643,-0.002056461400934495,0.9589323997497559,187.0,-10.0
20,-10.0,658,62,40960,177.01,,,,,,,,,,,,
21,-10.0,659,65,43008,179.83,0.0040154514623282015,0.2,0.0003,0.020556640625,-0.20328208482824267,0.0013212683,200,0.010730590671300888,-0.0017967921157833189,0.9986204504966736,,
22,-10.0,660,68,45056,182.72,0.0032257568405839264,0.2,0.0003,0.006884765625,-0.2202775369863957,0.0007760533,210,-0.0035457361955195665,-3.580018237698823e-05,0.999072253704071,,
23,-10.0,661,71,47104,182.72,0.003168863005703315,0.2,0.0003,0.0125,-0.21483745924197137,0.00079793984,220,0.002724939724430442,0.0002741057804087177,0.9992819428443909,,
24,-10.0,660,74,49152,184.14,0.002362675653785118,0.2,0.0003,0.00771484375,-0.19809513119980693,0.00031467815,230,0.001262320438399911,1.4013543841429055e-05,0.9995036125183105,,
,,,,50000,,0.0018736902639830077,0.2,0.0003,0.011865234375,-0.1894824237562716,0.0012892422,240,-0.004339545965194702,-0.000502678652992472,0.9996103644371033,187.0,-10.0
25,-10.0,657,77,51200,184.14,,,,,,,,,,,,
26,-10.0,657,80,53248,184.14,0.0015938662389089586,0.2,0.0003,0.0130859375,-0.1899954321794212,0.001079144,250,0.00033487752079963684,-0.0007634348759893328,0.9996507167816162,,
27,-10.0,656,84,55296,185.41,0.0011898373081749014,0.2,0.0003,0.021044921875,-0.2197611869778484,0.0011852401,260,-0.008155182003974915,-2.3080706887412818e-05,0.9997531175613403,,
28,-10.0,657,87,57344,186.83,0.007356008616625331,0.2,0.0003,0.017578125,-0.15226465652231128,0.0013756282,270,-0.0029395506717264652,-0.0015341394057031721,0.9985783100128174,,
29,-10.0,657,90,59392,186.83,0.0013657491136655152,0.2,0.0003,0.026220703125,-0.1714002155466005,0.0053561386,280,-0.01521393097937107,-0.001438297115964815,0.9996888637542725,,
,,,,60000,,0.0009141136903508595,0.2,0.0003,0.021142578125,-0.178671987215057,0.0012705547,290,-0.0017600968712940812,-0.0030036660347832365,0.9998210072517395,187.0,-10.0
30,-10.0,654,93,61440,186.85,,,,,,,,,,,,
31,-10.0,655,96,63488,186.85,0.0007866210718930234,0.2,0.0003,0.01044921875,-0.1765388935804367,0.0018711071,300,-0.0029308206867426634,-0.0002684742459678091,0.9998539090156555,,
32,-10.0,654,100,65536,186.85,0.000645147384716438,0.2,0.0003,0.01435546875,-0.1985320146661252,0.0011573241,310,-0.004236847162246704,0.00032411813153885303,0.9998827576637268,,
33,-10.0,654,103,67584,186.85,0.0006195997664462993,0.2,0.0003,0.0115234375,-0.19298480004072188,0.00040280243,320,-0.00048141181468963623,0.0004328816125052981,0.9998916983604431,,
34,-10.0,653,106,69632,186.85,0.0005741441995041896,0.2,0.0003,0.03251953125,-0.1892070585396141,0.0053647347,330,-0.00260849017649889,-0.0011813070654170589,0.9999042749404907,,
,,,,70000,,0.0005559832497965544,0.2,0.0003,0.0134765625,-0.2079283535014838,0.0006712708,340,-0.0008337686304003,0.00029580209957202896,0.9999029636383057,187.0,-10.0
35,-10.0,651,109,71680,186.85,,,,,,,,,,,,
36,-10.0,652,113,73728,187.0,0.0005339596383009849,0.2,0.0003,0.0275390625,-0.18775312812067568,0.0031946271,350,0.0021306376438587904,0.0004515365610131994,0.9999096393585205,,
37,-10.0,652,116,75776,187.0,0.0005407585138527792,0.2,0.0003,0.016162109375,-0.18035572580993176,0.0013518241,360,-0.0008774640737101436,-0.0003664458898128942,0.9999111890792847,,
38,-10.0,652,119,77824,187.0,0.0005329657171614599,0.2,0.0003,0.03330078125,-0.24482884895987808,0.0026025437,370,-0.009093580767512321,0.0003034621011465788,0.999915599822998,,
39,-10.0,652,122,79872,187.0,0.0005136265223427472,0.2,0.0003,0.02421875,-0.18491641643922777,0.0024986262,380,-0.004698713310062885,-0.001155845756875351,0.9999165534973145,,
,,,,80000,,0.0004958901060263087,0.2,0.0003,0.03056640625,-0.22745193666778504,0.0024683732,390,9.782979032024741e-05,0.0004354538512416184,0.9999179244041443,187.0,-10.0
40,-10.0,649,126,81920,187.0,,,,,,,,,,,,
