time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
1003,2,-4.7631578947368425,53.36842105263158,1,2048,,,,,,,,,,,,
825,4,-4.835064935064934,52.64935064935065,2,4096,10,-0.01761496067047119,7.53385938256979,0.2,-0.0033175832970300688,0.016761845,0.0212890625,1.7296112775802612,0.0003,-0.6825132869184017,,
808,7,-4.842,52.58,3,6144,20,0.7347692847251892,1.0784370721317829,0.2,-0.0005863374361069873,0.009040132,0.003173828125,0.25271716713905334,0.0003,-0.6821570627391338,,
772,10,-4.76,53.4,4,8192,30,0.9886168241500854,0.12915112263290213,0.2,-0.01280054204253247,0.01810795,0.11259765625,0.044622186571359634,0.0003,-0.6844497248530388,,
,,,,,10000,40,0.9924630522727966,0.03821307210018858,0.2,-0.02186740411852952,0.022251975,0.310400390625,-0.011143865063786507,0.0003,-0.6392192058265209,-5.6,45.0
748,13,-4.565,55.35,5,10240,,,,,,,,,,,,
748,16,-4.194,59.06,6,12288,50,0.9939941763877869,0.03315527134982403,0.2,-0.02405091822729446,0.028284613,0.26796875,-0.005160108208656311,0.0003,-0.5634646622464061,,
743,19,-3.591,65.09,7,14336,60,0.9696231484413147,0.21127781537361442,0.2,-0.024946403712965547,0.03748097,0.207373046875,0.10409118235111237,0.0003,-0.4170018881559372,,
740,22,-2.582,75.18,8,16384,70,0.9582092761993408,0.2764454221352935,0.2,-0.015151455294108019,0.009601748,0.108984375,0.08118771761655807,0.0003,-0.31165702948346735,,
736,25,-1.575,85.25,9,18432,80,0.8319389820098877,1.0505787800997495,0.2,-0.009620830058702267,0.004506935,0.067431640625,0.48857560753822327,0.0003,-0.23533390704542398,,
,,,,,20000,90,0.8339698314666748,1.2048244312405587,0.2,-0.009544829779770225,0.0074581886,0.0798828125,0.5040231347084045,0.0003,-0.20568186952732503,8.940000000000001,190.4
707,28,-0.363,97.37,10,20480,,,,,,,,,,,,
703,32,0.8219999999999997,109.22,11,22528,100,0.8343273401260376,1.2726184139028192,0.2,-0.00960580536047928,0.009315198,0.0619140625,0.5785931348800659,0.0003,-0.18160786097869278,,
699,35,2.085,121.85,12,24576,110,0.8917772173881531,0.8535066230222583,0.2,-0.00797174523177091,0.016582105,0.0525390625,0.3290814757347107,0.0003,-0.1769163926364854,,
696,38,3.237000000000001,133.37,13,26624,120,0.9139337539672852,1.0842135046143084,0.2,-0.0054534531373064965,0.004069398,0.027001953125,0.21815109252929688,0.0003,-0.193184615066275,,
695,41,4.437000000000001,145.37,14,28672,130,0.9334905743598938,0.9554826349485666,0.2,-0.00646451270149555,0.0029238916,0.030859375,0.5337461829185486,0.0003,-0.1941833449760452,,
,,,,,30000,140,0.9917680621147156,0.0625220402085688,0.2,-0.0015828599891392515,0.008816556,0.0326171875,0.036173634231090546,0.0003,-0.16486610339488833,-5.6,45.0
682,45,5.485000000000001,155.85,15,30720,,,,,,,,,,,,
679,48,6.24,163.4,16,32768,150,0.9957743287086487,0.03661656299373135,0.2,-0.000904801425349433,0.0014388995,0.025,0.014951459132134914,0.0003,-0.20859015733003616,,
679,51,6.997999999999999,170.98,17,34816,160,0.9974747896194458,0.0253110167599516,0.2,-0.0030338592798216267,0.002447622,0.02939453125,0.002508849836885929,0.0003,-0.21129221604205667,,
678,54,7.303999999999999,174.04,18,36864,170,0.9586712718009949,0.8908355900988681,0.2,-0.0023115936026442798,0.0010387569,0.017626953125,-0.0011190064251422882,0.0003,-0.20556916431523858,,
677,57,7.784,178.84,19,38912,180,0.9157446622848511,1.7300463797757402,0.2,-0.009048242564313113,0.020285647,0.066748046875,0.057673510164022446,0.0003,-0.21876049023121596,,
,,,,,40000,190,0.9983649849891663,0.016227137204259633,0.2,-0.001601410107105039,0.0034105014,0.02490234375,0.0022474764846265316,0.0003,-0.19397701239213347,8.6,187.0
670,61,7.825999999999999,179.26,20,40960,,,,,,,,,,,,
670,64,8.028999999999998,181.29,21,43008,200,0.9988144040107727,0.01308159110340057,0.2,-0.000274082415853627,0.00082187325,0.010693359375,0.011445414274930954,0.0003,-0.19391134241595864,,
669,67,8.171,182.71,22,45056,210,0.99916672706604,0.011927842960722046,0.2,-0.0006600274005904794,0.0003302091,0.004345703125,0.0035695587284862995,0.0003,-0.20852289013564587,,
669,70,8.171,182.71,23,47104,220,0.9991587400436401,0.013870249630417674,0.2,0.0006182790253660642,0.0021900004,0.01572265625,0.0027346955612301826,0.0003,-0.2305115036200732,,
668,73,8.171,182.71,24,49152,230,0.9996000528335571,0.007016627432676614,0.2,-0.0005051558378909249,0.0003636415,0.007666015625,-0.005539844743907452,0.0003,-0.22220634915865958,,
,,,,,50000,240,0.9996330142021179,0.006880274737341097,0.2,3.0087004415690898e-05,0.0005359984,0.00400390625,0.0015859492123126984,0.0003,-0.22272243788465856,2.98,130.8
665,76,8.171,182.71,25,51200,,,,,,,,,,,,
666,79,8.312999999999999,184.13,26,53248,250,0.9996766448020935,0.005814629822270945,0.2,-0.002006071401410736,0.0006768507,0.01025390625,-0.00875794980674982,0.0003,-0.21187677243724465,,
666,82,8.6,187.0,27,55296,260,0.9996832013130188,0.006006347812217427,0.2,-0.0020464302389882503,0.0005113861,0.00654296875,-0.004815362393856049,0.0003,-0.18292299001477658,,
665,86,8.579999999999998,186.8,28,57344,270,0.9997332096099854,0.004851152572155115,0.2,-0.0036536924744723365,0.0068334336,0.0390625,-0.022612906992435455,0.0003,-0.22680519209243358,,
666,89,8.579999999999998,186.8,29,59392,280,0.9977073073387146,0.04568741412549571,0.2,-0.0020356645749416203,0.00081261905,0.010205078125,0.011594745330512524,0.0003,-0.1692140832776204,,
,,,,,60000,290,0.9996567964553833,0.00488288203268894,0.2,-0.0027372984201065264,0.0016624248,0.021240234375,-0.013244087807834148,0.0003,-0.17821804569102823,8.6,187.0
663,92,8.579999999999998,186.8,30,61440,,,,,,,,,,,,
664,95,8.579999999999998,186.8,31,63488,300,0.9997544288635254,0.004214937299184385,0.2,-0.0037374003208242358,0.0009906434,0.01533203125,-0.0056183356791734695,0.0003,-0.16995214624330401,,
662,98,8.579999999999998,186.8,32,65536,310,0.9998210072517395,0.0031786427878614633,0.2,0.0005853554059285671,0.004507401,0.023974609375,0.013119088485836983,0.0003,-0.18666416918858886,,
662,102,8.579999999999998,186.8,33,67584,320,0.999879777431488,0.0024653289305206273,0.2,-0.00013749540084972978,0.0009932872,0.018212890625,0.00430671451613307,0.0003,-0.17963885851204395,,
662,105,8.579999999999998,186.8,34,69632,330,0.999902606010437,0.0021613630200590706,0.2,-0.00018337459478061645,0.00065763097,0.008154296875,0.000609125941991806,0.0003,-0.16706342266406865,,
,,,,,70000,340,0.9999104142189026,0.0020835962120145267,0.2,-0.0003345627221278846,0.0008077634,0.01298828125,-0.01074118260294199,0.0003,-0.172183221206069,8.6,187.0
659,108,8.579999999999998,186.8,35,71680,,,,,,,,,,,,
660,111,8.579999999999998,186.8,36,73728,350,0.9999111294746399,0.0020905687018057508,0.2,0.0002179867122322321,0.0009151872,0.0080078125,0.0032848839182406664,0.0003,-0.1792441600933671,,
663,114,8.6,187.0,37,75776,360,0.9999107718467712,0.002205133280313021,0.2,-0.00044976238132221624,0.0024222275,0.033056640625,0.00735595403239131,0.0003,-0.22011712538078426,,
665,116,8.6,187.0,38,77824,370,0.9999096989631653,0.0021100055509123195,0.2,0.00021844660514034331,0.0009281194,0.014208984375,-0.006175299175083637,0.0003,-0.19177435166202486,,
667,119,8.6,187.0,39,79872,380,0.9999148845672607,0.0020691648539468586,0.2,-0.0009054256457602605,0.0006248265,0.01005859375,-0.0065399836748838425,0.0003,-0.17833823275286703,,
,,,,,80000,390,0.9999182820320129,0.0019350300470250658,0.2,0.00025323861991637385,0.00027418535,0.00849609375,0.00045695481821894646,0.0003,-0.19023136086761952,8.680000000000001,187.8
667,122,8.6,187.0,40,81920,,,,,,,,,,,,
668,125,8.6,187.0,41,83968,400,0.9999151825904846,0.002047608780594601,0.2,-0.00015588852111250162,0.00025995745,0.014501953125,-0.002586051356047392,0.0003,-0.17026277102995663,,
670,128,8.6,187.0,42,86016,410,0.9999166131019592,0.0020034037888763123,0.2,-0.00029671826050616803,0.0012277211,0.015380859375,0.001136168953962624,0.0003,-0.1665984837571159,,
672,131,8.6,187.0,43,88064,420,0.9999184608459473,0.0019465269183456257,0.2,0.00019659461540868505,0.00041935488,0.0068359375,-0.0024546196218580008,0.0003,-0.19012664295732976,,
,,,,,90000,430,0.9999204874038696,0.0019253183449109202,0.2,0.0002867558112484403,0.00077728945,0.00888671875,-4.5564345782622695e-05,0.0003,-0.1785117161925882,8.6,187.0
671,134,8.6,187.0,44,90112,,,,,,,,,,,,
673,136,8.6,187.0,45,92160,440,0.9999186992645264,0.001961630486221111,0.2,-7.474002777598798e-05,0.00062778644,0.0109375,0.001061227172613144,0.0003,-0.18707506833598017,,
675,139,8.6,187.0,46,94208,450,0.9999191164970398,0.001983778732665087,0.2,0.00016405194910475984,0.0014293494,0.01474609375,-0.005187935661524534,0.0003,-0.19556023818440735,,
676,142,8.6,187.0,47,96256,460,0.9999217391014099,0.001859071771013987,0.2,-0.0006882146757561713,0.0011402001,0.013134765625,6.185309030115604e-05,0.0003,-0.16832550277467817,,
678,144,8.6,187.0,48,98304,470,0.9999225735664368,0.001890153688054852,0.2,-9.629518608562648e-05,0.00093868026,0.00859375,-0.0011505780275911093,0.0003,-0.15834370648954063,,
,,,,,100000,480,0.999921441078186,0.0018759795510050025,0.2,-3.053047112189233e-05,0.00082163094,0.012744140625,-0.002506178105250001,0.0003,-0.21057450762018562,8.6,187.0
677,148,8.6,187.0,49,100352,,,,,,,,,,,,
678,150,8.6,187.0,50,102400,490,0.9999222159385681,0.0018253640437251306,0.2,8.715941803529858e-05,0.0013587829,0.0251953125,-0.00385513948276639,0.0003,-0.2020991173107177,,
680,153,8.6,187.0,51,104448,500,0.9999226927757263,0.0018407773678518423,0.2,-0.0006180842843605206,0.0020226114,0.017138671875,-2.4427194148302078e-05,0.0003,-0.17976795781869442,,
681,156,8.6,187.0,52,106496,510,0.9999256134033203,0.001778122924042691,0.2,0.0002938883422757499,0.00044077297,0.00576171875,0.0007555079646408558,0.0003,-0.18426427419763058,,
683,158,8.6,187.0,53,108544,520,0.9999246001243591,0.001864463915808301,0.2,0.0006125419778982178,0.00064592314,0.008935546875,-0.0047956244088709354,0.0003,-0.16828491063788534,,
,,,,,110000,530,0.9999252557754517,0.0017711603911266139,0.2,-7.236598466988652e-05,0.00025149956,0.01328125,-0.0007629035972058773,0.0003,-0.14604565047193319,8.6,187.0
682,162,8.6,187.0,54,110592,,,,,,,,,,,,
683,164,8.6,187.0,55,112640,540,0.9999290108680725,0.0016853108603754664,0.2,0.00010851800034288317,0.0019590817,0.01279296875,0.008934402838349342,0.0003,-0.18089397179428487,,
684,167,8.6,187.0,56,114688,550,0.9999252557754517,0.0017774906049453421,0.2,-0.00029677830170840027,0.0008268216,0.010009765625,0.0032404856756329536,0.0003,-0.1934796877671033,,
685,170,8.6,187.0,57,116736,560,0.9999246597290039,0.0018406431960102053,0.2,-2.224323689006269e-05,0.00045151322,0.00712890625,-0.0030606130603700876,0.0003,-0.15429013858083634,,
686,173,8.6,187.0,58,118784,570,0.9999243021011353,0.0017720527024721378,0.2,0.0002952676062704995,0.0018619667,0.009033203125,-0.003632240230217576,0.0003,-0.19909065975807608,,
,,,,,120000,580,0.999927282333374,0.001736586041715782,0.2,-0.0014273222826886923,0.0014484453,0.01787109375,-0.003835940035060048,0.0003,-0.14679245299194008,8.6,187.0
685,176,8.6,187.0,59,120832,,,,,,,,,,,,
686,178,8.6,187.0,60,122880,590,0.9999285340309143,0.001733492286348337,0.2,-0.0007600485550938174,0.0014924192,0.01376953125,0.0016501713544130325,0.0003,-0.17707677325233817,,
687,181,8.6,187.0,61,124928,600,0.9999281167984009,0.0017222275219864968,0.2,3.6586068745236844e-05,0.00093097694,0.00849609375,0.0011285371147096157,0.0003,-0.1614012585254386,,
688,184,8.6,187.0,62,126976,610,0.9999266862869263,0.0017348067623061069,0.2,-0.0005313788467901758,0.0013867449,0.022216796875,0.0004532678285613656,0.0003,-0.19005874185822905,,
689,186,8.6,187.0,63,129024,620,0.9999287724494934,0.0016897632953714492,0.2,-0.00037179966748226436,0.0013185606,0.020703125,-0.005008589010685682,0.0003,-0.19152405725326388,,
,,,,,130000,630,0.999929666519165,0.00173462461143572,0.2,-0.0001103912974940613,0.0012273614,0.02109375,0.002598120365291834,0.0003,-0.1848501902539283,8.6,187.0
689,190,8.6,187.0,64,131072,,,,,,,,,,,,
690,192,8.6,187.0,65,133120,640,0.9999294281005859,0.0016709523292774975,0.2,0.00024585287756053733,0.0034710665,0.0130859375,0.0032880809158086777,0.0003,-0.20285749370232226,,
691,195,8.6,187.0,66,135168,650,0.9999319314956665,0.001656334506787971,0.2,-1.8106594507116824e-05,0.0022824625,0.029248046875,0.0021610427647829056,0.0003,-0.1984376602806151,,
692,198,8.6,187.0,67,137216,660,0.9999305009841919,0.0016624650444100552,0.2,-3.422712325118482e-06,0.0023719454,0.022705078125,0.0016356315463781357,0.0003,-0.21847412027418614,,
693,200,8.6,187.0,68,139264,670,0.9999310970306396,0.001624542790113992,0.2,-1.8702670058701187e-05,0.0010546036,0.008056640625,-0.0012833599466830492,0.0003,-0.19174587088637055,,
,,,,,140000,680,0.9999324083328247,0.0016351570649021595,0.2,0.0003761252912227064,0.00089793094,0.012890625,0.0015519752632826567,0.0003,-0.1833334298338741,8.6,187.0
693,203,8.6,187.0,69,141312,,,,,,,,,,,,
694,206,8.6,187.0,70,143360,690,0.9999318718910217,0.0016094703708859014,0.2,-0.00018167135276598857,0.0020890415,0.016162109375,-0.003213107120245695,0.0003,-0.2009762020315975,,
694,209,8.581,186.81,71,145408,700,0.9999316930770874,0.0015944187447985314,0.2,0.00035888160637114196,0.0010713509,0.021826171875,-0.004463879391551018,0.0003,-0.21163885174319147,,
695,212,8.581,186.81,72,147456,710,0.9977052807807922,0.045583115931367504,0.2,-0.001367869217938278,0.0003887235,0.008544921875,0.007777892518788576,0.0003,-0.16910698292776943,,
695,214,8.581,186.81,73,149504,720,0.9996923208236694,0.0033672218571155097,0.2,-0.0030145575903588904,0.0018247337,0.02421875,-0.008973202668130398,0.0003,-0.14956296870950608,,
,,,,,150000,730,0.999885618686676,0.002025103051437327,0.2,-0.0021128228632733225,0.0014145534,0.020458984375,-0.00891424622386694,0.0003,-0.15791177412029356,8.6,187.0
694,218,8.581,186.81,74,151552,,,,,,,,,,,,
695,220,8.581,186.81,75,153600,740,0.9999129176139832,0.001657744266503869,0.2,0.0002872449331334792,0.0020437152,0.035791015625,-0.0006071901880204678,0.0003,-0.224358180584386,,
696,223,8.581,186.81,76,155648,750,0.9999315142631531,0.0015327713172609946,0.2,-0.0005311874541803263,0.0026798055,0.02451171875,-0.005005378741770983,0.0003,-0.18878705110400915,,
697,226,8.581,186.81,77,157696,760,0.9999383091926575,0.0014068459347527096,0.2,-0.000489518020185642,0.0012258198,0.013671875,-0.005593420006334782,0.0003,-0.15898319566622376,,
698,228,8.578,186.78,78,159744,770,0.9999356865882874,0.0014788051420509874,0.2,0.0002807173106702976,0.0011216186,0.01552734375,-0.009881418198347092,0.0003,-0.1720395514043048,,
,,,,,160000,780,0.9998764395713806,0.0027415066135290543,0.2,-0.00015798977692611517,0.0006934931,0.017041015625,0.0036900516133755445,0.0003,-0.17098893548827618,8.6,187.0
697,231,8.578,186.78,79,161792,,,,,,,,,,,,
698,234,8.596999999999998,186.97,80,163840,790,0.9999305605888367,0.0015514153801632347,0.2,-0.0002701843244722113,0.001915504,0.02099609375,-0.004680421203374863,0.0003,-0.16597387930378318,,
699,237,8.596999999999998,186.97,81,165888,800,0.999939501285553,0.001417590844857841,0.2,0.0002754178465693258,0.0010417227,0.009765625,0.001631633611395955,0.0003,-0.17995761898346246,,
700,239,8.596999999999998,186.97,82,167936,810,0.9999397993087769,0.0014506369155697029,0.2,0.00027146340871695427,0.0033644987,0.0337890625,-0.003135600360110402,0.0003,-0.18010499174706637,,
700,242,8.596999999999998,186.97,83,169984,820,0.999940037727356,0.0014266514684550201,0.2,0.000718892237637192,0.00073937135,0.009521484375,0.005570901092141867,0.0003,-0.16230658860877156,,
,,,,,170000,830,0.9999415278434753,0.0013974631235214475,0.2,0.0004650698174373247,0.0019752956,0.051416015625,0.00013595979544334114,0.0003,-0.21687578023411333,8.6,187.0
699,245,8.594,186.94,84,172032,,,,,,,,,,,,
700,248,8.594,186.94,85,174080,840,0.9998827576637268,0.002509951538286259,0.2,-0.001015508380078245,0.0022336908,0.023486328125,-0.0015006409958004951,0.0003,-0.15334217075724155,,
701,251,8.594,186.94,86,176128,850,0.999935507774353,0.001400096074803514,0.2,0.00010227113962173462,0.0008098247,0.013330078125,-0.0003236382035538554,0.0003,-0.15914357705041765,,
701,253,8.596999999999998,186.97,87,178176,860,0.9999412298202515,0.001369180529991354,0.2,-0.0011703169147949666,0.0018393329,0.02265625,0.002466830424964428,0.0003,-0.12112950533628464,,
,,,,,180000,870,0.9999439120292664,0.0013278409601753082,0.2,-0.0011405950877815484,0.0007011414,0.00986328125,-0.0006300281384028494,0.0003,-0.1602202302077785,8.6,187.0
701,257,8.596999999999998,186.97,88,180224,,,,,,,,,,,,
701,259,8.596999999999998,186.97,89,182272,880,0.999943733215332,0.0013334610058336692,0.2,-0.0015724076525657437,0.0013488131,0.019873046875,-0.0024104840122163296,0.0003,-0.12803961511235684,,
702,262,8.596999999999998,186.97,90,184320,890,0.9999455213546753,0.0012893396804429357,0.2,-0.00039481097628595306,0.0018072657,0.020556640625,0.007782319560647011,0.0003,-0.1659067005617544,,
703,265,8.596999999999998,186.97,91,186368,900,0.9999464750289917,0.0012946768866186175,0.2,0.0004945007618516684,8.7072985e-05,0.01142578125,-0.0005259199533611536,0.0003,-0.15725587015040218,,
703,267,8.596999999999998,186.97,92,188416,910,0.9999470710754395,0.00126870226686151,0.2,-0.0008920682739699259,0.0029864206,0.025,0.0017501908587291837,0.0003,-0.17331884405575693,,
,,,,,190000,920,0.9999477863311768,0.001249672559515602,0.2,0.00018569082167232409,0.004384487,0.0216796875,-0.0003438099520280957,0.0003,-0.19125373847782612,8.6,187.0
702,271,8.6,187.0,93,190464,,,,,,,,,,,,
703,273,8.6,187.0,94,192512,930,0.9999480247497559,0.0012440826305009979,0.2,-3.9814863703213633e-05,0.0016983543,0.03427734375,-0.005530933849513531,0.0003,-0.21370596960186958,,
