time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,993,2,-15.257894736842104,2048,53.578947368421055,,,,,,,,,,,,
2,840,4,-15.243421052631575,4096,53.43421052631579,10,6.606258258223534,0.2,-0.0001639650872675702,0.0,0.942772626876831,-0.6928904438391328,0.0006338984,0.0003,0.020922183990478516,,
3,807,7,-15.279999999999998,6144,53.8,20,0.6425030742073432,0.2,-0.005460088601103053,0.06123046875,0.03427193686366081,-0.6864599598571658,0.017031321,0.0003,0.8247018456459045,,
4,795,10,-15.356,8192,54.56,30,0.15916843406448605,0.2,-0.001021895679878071,0.005078125,0.007353520952165127,-0.6704716125503183,0.0041567003,0.0003,0.8703519701957703,,
,,,,10000,,40,0.05738856600655708,0.2,-0.006386263913009315,0.083935546875,-0.03205960988998413,-0.6280045723542571,0.013149717,0.0003,0.528303861618042,45.0,-14.4
5,779,13,-15.554,10240,56.54,,,,,,,,,,,,
6,779,15,-15.684,12288,57.84,50,0.025708701538678724,0.2,-0.0004667571483878419,0.001416015625,-0.029756896197795868,-0.6303249942138791,0.0035008346,0.0003,0.34977543354034424,,
7,776,18,-15.819,14336,59.19,60,0.009178258947576979,0.2,-0.0053332326264353466,0.071337890625,0.014195767231285572,-0.5910035511478782,0.011735869,0.0003,-0.1280200481414795,,
8,773,21,-15.948,16384,60.48,70,0.003960453392392082,0.2,-0.005237429006956518,0.02255859375,0.0006008166819810867,-0.5355272483080625,0.004946849,0.0003,0.27263307571411133,,
9,775,23,-16.257,18432,63.57,80,0.0019011432257684646,0.2,-0.004456405020027887,0.019482421875,-0.011040451936423779,-0.5028597657568753,0.004296794,0.0003,0.1044425368309021,,
,,,,20000,,90,0.0018764063132039154,0.2,-0.008051668990810867,0.075,-0.024009214714169502,-0.4385919432155788,0.005910477,0.0003,0.3815464377403259,45.0,-14.4
10,771,26,-16.665,20480,67.65,,,,,,,,,,,,
11,770,29,-17.342,22528,74.42,100,0.002349413758747687,0.2,-0.010713452596974093,0.12529296875,-0.018460527062416077,-0.3733352625742555,0.007890353,0.0003,0.44265371561050415,,
