rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/learning_rate,train/clip_range,train/approx_kl,eval/mean_reward,eval/mean_ep_length
53.36842105263158,1058,1,2048,1,-10.0,,,,,,,,,,,,
53.30263157894737,844,4,4096,2,-10.0,1.039390206336975,-0.693041916191578,6.121531213447452,-0.00011955368972849101,10,-0.03149008750915527,0.0,0.0003,0.2,0.00044081945,,
54.07,814,7,6144,3,-10.0,0.13377071917057037,-0.6870603924617171,0.703072199318558,-0.0013870467315427958,20,0.8002452850341797,0.019775390625,0.0003,0.2,0.011038379,,
55.86,804,10,8192,4,-10.0,-0.05306193232536316,-0.6466344498097897,0.08759686302801128,-0.020966606878209858,30,0.9813095927238464,0.27373046875,0.0003,0.2,0.018867861,,
,,,10000,,,-0.02854226343333721,-0.5766736352816224,0.034324436748283914,-0.016759229116723874,40,0.9699349999427795,0.206689453125,0.0003,0.2,0.018555809,-10.0,45.0
59.08,790,12,10240,5,-10.0,,,,,,,,,,,,
69.03,786,15,12288,6,-10.0,-0.02160969004034996,-0.45113846473395824,0.049767200218047945,-0.02442302122944966,50,0.9675962924957275,0.1919921875,0.0003,0.2,0.047476918,,
82.76,784,18,14336,7,-10.0,0.19560527801513672,-0.28248337768018245,0.4674038279801607,-0.01424272005970124,60,0.6872268319129944,0.075732421875,0.0003,0.2,0.020867892,,
96.07,782,20,16384,8,-10.0,0.25518518686294556,-0.266605071676895,1.016647885646671,-0.005777533787477296,70,0.39431238174438477,0.043603515625,0.0003,0.2,0.00970305,,
108.74,780,23,18432,9,-10.0,0.2345065027475357,-0.23058206951245666,0.4491916796658188,-0.004989757490693592,80,0.6373850107192993,0.068994140625,0.0003,0.2,0.005146165,,
,,,20000,,,0.4926498234272003,-0.28773526414297523,0.7052739433245734,-0.007946354881278239,90,0.6536776423454285,0.050537109375,0.0003,0.2,0.010831093,-10.0,73.4
123.17,773,26,20480,10,-10.0,,,,,,,,,,,,
136.56,772,29,22528,11,-10.0,0.02469015121459961,-0.2552636744920164,0.07732202738407068,-0.0018381265312200413,100,0.9267341494560242,0.011181640625,0.0003,0.2,0.0014256537,,
149.98,774,31,24576,12,-10.0,0.009393756277859211,-0.2146908039227128,0.07999107081850525,-0.001544044114416465,110,0.9594786167144775,0.01376953125,0.0003,0.2,0.0014792205,,
163.49,770,34,26624,13,-10.0,-0.02260182425379753,-0.2349236206151545,0.0075847744497878015,-0.0012850067432736978,120,0.9903609156608582,0.0228515625,0.0003,0.2,0.0038041496,,
173.03,767,37,28672,14,-10.0,0.0006186885293573141,-0.23650152841582894,0.007479249959578738,0.0003095717402175069,130,0.9952055215835571,0.016748046875,0.0003,0.2,0.0015510747,,
,,,30000,,,0.002246336080133915,-0.18899837541393935,0.003631997567936196,-0.0007683768635615706,140,0.9979035258293152,0.01220703125,0.0003,0.2,0.0012455306,-10.0,194.6
178.79,757,40,30720,15,-10.0,,,,,,,,,,,,
183.76,756,43,32768,16,-10.0,0.0006586704403162003,-0.2235650673042983,0.004541584533581044,-4.020986671093851e-05,150,0.9986170530319214,0.014990234375,0.0003,0.2,0.00118042,,
183.91,756,46,34816,17,-10.0,-0.0037032971158623695,-0.21563377105630935,0.010557558988512027,-0.0030122510914225133,160,0.9971270561218262,0.031396484375,0.0003,0.2,0.0076015526,,
188.11,756,48,36864,18,-10.0,0.002314342651516199,-0.1985441497527063,0.013394934775715229,-0.0017935988958925008,170,0.9974746704101562,0.025732421875,0.0003,0.2,0.0041418294,,
184.99,758,51,38912,19,-10.0,0.0025828033685684204,-0.2085776278283447,0.011051881223829696,-0.0016758305777329952,180,0.9976198673248291,0.035205078125,0.0003,0.2,0.001817751,,
,,,40000,,,0.3424619734287262,-0.28058260660618545,0.4458365157188382,-0.01012475208262913,190,0.9138715267181396,0.080859375,0.0003,0.2,0.030177172,-10.0,187.0
186.04,753,54,40960,20,-10.0,,,,,,,,,,,,
186.21,754,57,43008,21,-10.0,-0.0009485259652137756,-0.2419656074605882,0.016777085309149696,-0.0003194975317455828,200,0.9948303699493408,0.0146484375,0.0003,0.2,0.0021498678,,
186.38,755,59,45056,22,-10.0,-0.01318314764648676,-0.2244207629468292,0.00446913531923201,-0.0004853740123508032,210,0.9985350966453552,0.020654296875,0.0003,0.2,0.002007605,,
186.68,756,62,47104,23,-10.0,0.004923551343381405,-0.1925995858386159,0.01251538278447697,-0.0003152393299387768,220,0.9976263642311096,0.0171875,0.0003,0.2,0.002356167,,
