time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
2,988,53.86842105263158,2048,1,-4.713157894736843,,,,,,,,,,,,
4,819,53.828947368421055,4096,2,-4.717105263157894,0.0003,7.379572951048613,0.2,-0.0142289400100708,1.148961067199707,0.004360104,0.0,10,-0.0004323720815591514,-0.6915800187736749,,
7,810,55.54,6144,3,-4.546,0.0003,1.0304911615327002,0.2,0.7543994188308716,0.22256338596343994,0.019239865,0.1490234375,20,-0.004298439208650961,-0.6646254621446133,,
10,802,59.06,8192,4,-4.194,0.0003,0.14142881399020552,0.2,0.9810448884963989,0.027836397290229797,0.018224545,0.238330078125,30,-0.024178543838206678,-0.5884261455386877,,
,,,10000,,,0.0003,0.1357403957983479,0.2,0.9858534336090088,0.0077454522252082825,0.0528788,0.219580078125,40,-0.037542801635572685,-0.4571474378928542,45.0,-5.6
13,786,64.39,10240,5,-3.661000000000001,,,,,,,,,,,,
15,780,64.35,12288,6,-3.665000000000001,0.0003,13.090501829981804,0.2,-0.777458906173706,4.714375019073486,0.0038585612,0.021484375,50,-0.0012587273187818937,-0.1308109840610996,,
18,776,66.62,14336,7,-3.438,0.0003,9.272455579042434,0.2,-0.06411993503570557,2.154966115951538,0.00013846927,0.001904296875,60,-0.00045311382273212076,-0.07664452318567783,,
21,773,73.83,16384,8,-2.7170000000000005,0.0003,4.51975019723177,0.2,0.4813694357872009,1.7477853298187256,0.0008013452,0.013037109375,70,-0.0027783765108324587,-0.13019775247666984,,
23,772,77.6,18432,9,-2.34,0.0003,4.872806548327207,0.2,0.5344648957252502,2.3146746158599854,0.0019184235,0.017822265625,80,-0.006734689301811159,-0.20381350461393594,,
,,,20000,,,0.0003,3.9359548848122357,0.2,0.6563960909843445,1.1275938749313354,0.0009886578,0.0150390625,90,-0.004554297911818139,-0.2162786124739796,45.0,-5.6
26,770,89.24,20480,10,-1.176,,,,,,,,,,,,
29,768,100.48,22528,11,-0.05199999999999998,0.0003,2.9259062383323906,0.2,0.6780226230621338,1.5621250867843628,0.0015056436,0.01416015625,100,-0.004553125481470488,-0.25188218858093026,,
