time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
2048,2,988,-15.25,53.5,1,,,,,,,,,,,,
4096,4,828,-15.341333333333335,54.413333333333334,2,10,0.00341796875,-0.05815231800079346,-0.6881016345694662,7.177222196012735,0.2,0.0003,1.559677004814148,-0.0007742693240288645,0.010300341,,
6144,7,804,-15.473000000000003,55.73,3,20,0.279296875,0.7400696873664856,-0.6478871392086148,0.7481391079258174,0.2,0.0003,0.07565198093652725,-0.011225838548853062,0.021623183,,
8192,10,786,-15.693,57.93,4,30,0.0634765625,0.8953857421875,-0.5993250129744411,0.12349090809075278,0.2,0.0003,-0.032126277685165405,-0.0061677248231717385,0.0074138604,,
10000,,,,,,40,0.011328125,0.6073736548423767,-0.5436361104249954,0.05578917758539319,0.2,0.0003,0.005421981681138277,-0.0031904435978503897,0.002647411,-14.4,45.0
10240,13,764,-16.077,61.77,5,,,,,,,,,,,,
12288,16,758,-16.514999999999997,66.15,6,50,0.03544921875,0.684159517288208,-0.48209362300112846,0.04701424207305536,0.2,0.0003,-0.004413380287587643,-0.007653788028983399,0.0055345604,,
14336,18,754,-17.054000000000002,71.54,7,60,0.08076171875,0.654887318611145,-0.41467831740155814,0.036769425444072114,0.2,0.0003,0.01325466949492693,-0.008499799511628225,0.0056023067,,
16384,21,749,-17.892,79.92,8,70,0.095654296875,0.5386790037155151,-0.3538869212381542,0.01556445772293955,0.2,0.0003,-0.002776125445961952,-0.011798037015250885,0.0051161796,,
18432,24,747,-18.926000000000002,90.26,9,80,0.0736328125,0.6043756008148193,-0.29104187404736875,0.025740124125150032,0.2,0.0003,0.016118012368679047,-0.00934963879699353,0.0048828213,,
20000,,,,,,90,0.074658203125,0.4508371949195862,-0.2295733869075775,0.01869263604894513,0.2,0.0003,-0.004969077184796333,-0.009891751271788962,0.010712532,-14.4,45.0
20480,27,741,-19.877,99.77,10,,,,,,,,,,,,
22528,30,744,-20.168000000000003,102.68,11,100,0.0427734375,0.11322200298309326,-0.17874246602877975,0.01690648543444695,0.2,0.0003,-0.005317244678735733,-0.00552583967364626,0.0051758746,,
24576,33,744,-20.636000000000003,107.36,12,110,0.0091796875,-1.2346985340118408,-0.12553323940373956,0.008711876183224377,0.2,0.0003,-0.00602134270593524,-0.0013359783362830058,0.0005651227,,
26624,35,743,-21.800999999999995,119.01,13,120,0.095654296875,0.4253172278404236,-0.2805615943390876,0.0017895202525323838,0.2,0.0003,-0.03369845449924469,-0.02163587049290072,0.05575919,,
28672,38,744,-22.423999999999996,125.24,14,130,0.018310546875,0.9209202527999878,-0.1442318042041734,0.00024316670053394773,0.2,0.0003,-0.006384284235537052,-0.0033120513573521746,0.0008476662,,
30000,,,,,,140,0.02099609375,0.8767765760421753,-0.1479511256562546,0.0002241234522443847,0.2,0.0003,-0.007842942140996456,-0.005368820566218346,0.0029672524,-26.72,269.2
30720,41,734,-23.057,131.57,15,,,,,,,,,,,,
