time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
1,284.7142857142857,262,2048,7,0.0,,,,,,,,,,,,
2,255.3125,248,4096,16,-1.25,3.237184524536133,0.06279296875,-2.191152061522007,5.672400766983628,0.011739157,0.0003,-0.001573324203491211,10,0.2,-0.0068716374458745125,,
3,253.70833333333334,254,6144,24,0.0,5.172267436981201,0.096435546875,-2.1822673246264457,4.784657193906606,0.009929768,0.0003,0.06342291831970215,20,0.2,-0.011638498087995686,,
4,263.3225806451613,254,8192,32,0.0,3.2238214015960693,0.072802734375,-2.1587136924266814,5.900994795747101,0.008170285,0.0003,-0.04100751876831055,30,0.2,-0.007186857140914072,,
,,,10000,,,2.5115745067596436,0.1267578125,-2.159379629045725,4.651551538333297,0.010739762,0.0003,0.13564032316207886,40,0.2,-0.010179768418311141,6.0,385.0
5,268.86486486486484,230,10240,44,0.5405405405405406,,,,,,,,,,,,
6,280.69767441860466,234,12288,52,1.3953488372093024,1.8764880895614624,0.082421875,-2.1273655489087107,4.144210621714592,0.010999648,0.0003,0.010242342948913574,50,0.2,-0.007286379938886966,,
7,285.1,237,14336,60,2.2,2.755810499191284,0.08642578125,-2.1343290701508524,6.309828090667724,0.008996157,0.0003,-0.0065953731536865234,60,0.2,-0.0097049515490653,,
8,286.859649122807,240,16384,68,2.6315789473684212,3.5332510471343994,0.120751953125,-2.10488683655858,6.053797432035208,0.014538093,0.0003,0.04355674982070923,70,0.2,-0.008764830151631032,,
9,283.4,243,18432,75,2.4615384615384617,3.6287500858306885,0.079833984375,-2.089290466159582,7.481019547581672,0.011275771,0.0003,-0.049182772636413574,80,0.2,-0.008416218450292945,,
,,,20000,,,2.0962936878204346,0.07392578125,-2.063850877434015,6.932333331182599,0.008515717,0.0003,-0.04156494140625,90,0.2,-0.007119504496222362,-2.0,271.8
10,274.4189189189189,238,20480,85,1.0810810810810811,,,,,,,,,,,,
11,274.4320987654321,241,22528,93,1.2345679012345678,0.6032738089561462,0.13427734375,-2.043879047036171,4.409848316386342,0.012683539,0.0003,0.016467571258544922,100,0.2,-0.009716316727281082,,
12,284.6860465116279,243,24576,100,2.441860465116279,2.34065318107605,0.140234375,-2.095661433786154,6.218071354180575,0.014055973,0.0003,-0.045961976051330566,110,0.2,-0.012516825434431667,,
13,281.7741935483871,245,26624,108,2.3655913978494625,2.1114232540130615,0.07353515625,-2.085267075896263,7.733456330001355,0.010442818,0.0003,-0.0353548526763916,120,0.2,-0.007995862617099192,,
14,287.44444444444446,246,28672,116,2.8282828282828283,1.034223198890686,0.040478515625,-2.0709718853235244,6.767817950248718,0.0077888584,0.0003,-0.02646327018737793,130,0.2,-0.0035371095771552065,,
,,,30000,,,5.406052112579346,0.03232421875,-2.053179095685482,6.495499919354915,0.0063241003,0.0003,0.12027126550674438,140,0.2,-0.005475621024379507,-6.0,228.6
15,286.43,239,30720,128,2.8,,,,,,,,,,,,
