time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/approx_kl,train/loss,train/clip_range,train/explained_variance,eval/mean_ep_length,eval/mean_reward
293,6,222.0,-8.75,1,2048,,,,,,,,,,,,
274,14,271.73333333333335,-3.3333333333333335,2,4096,0.096337890625,3.7716151816770433,-2.1879839189350605,-0.007239407862653024,0.0003,10,0.010041112,1.5684802532196045,0.2,-0.012337327003479004,,
266,23,282.0,-1.0,3,6144,0.126123046875,4.922866434417665,-2.178398956358433,-0.010582121698826085,0.0003,20,0.009174263,1.5525163412094116,0.2,0.0022759437561035156,,
267,30,279.0689655172414,-1.7241379310344827,4,8192,0.083251953125,5.88916612342,-2.1706311777234077,-0.011698815991985611,0.0003,30,0.008115351,2.2998363971710205,0.2,-0.07092070579528809,,
,,,,,10000,0.148583984375,3.9466333866119383,-2.147045823931694,-0.01052848472027108,0.0003,40,0.014187897,0.7549729943275452,0.2,0.08472132682800293,283.4,0.0
238,42,282.3888888888889,-1.1111111111111112,5,10240,,,,,,,,,,,,
244,50,273.8181818181818,-1.8181818181818181,6,12288,0.128759765625,4.363547987863422,-2.0933225437998773,-0.011642178546753711,0.0003,50,0.015681062,1.479277491569519,0.2,0.01270151138305664,,
243,58,276.19607843137254,-1.7647058823529411,7,14336,0.150830078125,3.796800216846168,-2.095899253338575,-0.014149440627079457,0.0003,60,0.011559447,1.2868175506591797,0.2,0.09566766023635864,,
243,67,292.42857142857144,0.35714285714285715,8,16384,0.158544921875,3.124123074579984,-2.006222252175212,-0.015317011161823758,0.0003,70,0.0163711,0.7145887017250061,0.2,0.005391418933868408,,
244,75,285.734375,-0.3125,9,18432,0.15380859375,5.867945754900575,-2.0580422334372996,-0.012956415112421382,0.0003,80,0.012528161,3.376105785369873,0.2,0.03767812252044678,,
,,,,,20000,0.18779296875,3.484341132082045,-2.0516725949943067,-0.013808341676485725,0.0003,90,0.016332436,2.453521728515625,0.2,0.007264375686645508,213.4,-8.0
236,86,275.52702702702703,-0.8108108108108109,10,20480,,,,,,,,,,,,
237,94,279.9375,-0.5,11,22528,0.163916015625,4.0678439708426595,-2.059860299527645,-0.012551645567873493,0.0003,100,0.01643671,0.9439881443977356,0.2,0.1093549132347107,,
237,103,276.0561797752809,-0.5617977528089888,12,24576,0.146337890625,4.410007448121905,-2.01246746070683,-0.013285279762931168,0.0003,110,0.016481044,1.625096082687378,0.2,0.0513685941696167,,
238,111,271.1546391752577,-0.41237113402061853,13,26624,0.205419921875,4.468017083220184,-2.075440938025713,-0.01748144279117696,0.0003,120,0.018170614,1.6697949171066284,0.2,0.008480846881866455,,
239,119,272.0,-0.1,14,28672,0.118115234375,5.687198643013835,-1.9983175691217183,-0.010384241497376934,0.0003,130,0.011945285,1.4837440252304077,0.2,0.0871962308883667,,
,,,,,30000,0.14404296875,5.75631568133831,-2.115252681821585,-0.009943882131483405,0.0003,140,0.013801503,3.279006004333496,0.2,0.12328433990478516,287.0,2.0
231,132,279.24,1.2,15,30720,,,,,,,,,,,,
234,139,280.05,1.5,16,32768,0.120654296875,6.927335122227669,-2.0942649520933627,-0.013568510889308527,0.0003,150,0.012167146,3.9329864978790283,0.2,0.1572520136833191,,
236,147,277.31,1.5,17,34816,0.18310546875,6.964486432448029,-2.080339632183313,-0.01031231039960403,0.0003,160,0.011925552,3.249042272567749,0.2,0.17426347732543945,,
