time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
6,2048,1,15.752,299,378.4,,,,,,,,,,,,
14,4096,2,8.386666666666667,275,341.1666666666667,5.660512470826506,0.2,0.011786162853240967,10,-0.010295378509908915,3.985126495361328,0.096923828125,-2.1880774892866612,0.0003,0.010444561,,
22,6144,3,10.35375,276,350.5625,6.148955275118351,0.2,0.05402517318725586,20,-0.009510806335310918,2.4235877990722656,0.09248046875,-2.176090842485428,0.0003,0.008711794,,
29,8192,4,7.927916666666666,281,336.8333333333333,6.3038336403667925,0.2,0.14515453577041626,30,-0.01163340124185197,1.8448762893676758,0.1576171875,-2.1519008815288543,0.0003,0.015936118,,
,10000,,,,,5.925531141646206,0.2,0.04443001747131348,40,-0.010701391400652937,1.5831645727157593,0.162548828125,-2.123915924876928,0.0003,0.016002286,-5.234,277.8
38,10240,5,4.827272727272727,264,303.030303030303,,,,,,,,,,,,
45,12288,6,3.133809523809524,273,291.54761904761904,6.271329940855503,0.2,0.12776386737823486,50,-0.007888238565647044,3.173689603805542,0.129541015625,-2.1232880637049676,0.0003,0.013122515,,
51,14336,7,1.575102040816326,278,281.7959183673469,5.189544761180878,0.2,0.09573918581008911,60,-0.009811237166286447,4.229977130889893,0.191552734375,-2.0983119167387487,0.0003,0.012734689,,
57,16384,8,2.7191071428571427,284,291.7142857142857,4.351326180063188,0.2,0.2706485986709595,70,-0.0045490565506042914,3.1221697330474854,0.1462890625,-2.0796216897666455,0.0003,0.008146923,,
64,18432,9,1.89703125,286,285.328125,6.8307844087481495,0.2,0.13050544261932373,80,-0.0066950242966413494,6.685594081878662,0.14326171875,-2.02536929436028,0.0003,0.008703691,,
,20000,,,,,3.9885711178183554,0.2,0.20574593544006348,90,-0.0014767376822419464,1.3683431148529053,0.116650390625,-2.004367047920823,0.0003,0.00994512,-7.7620000000000005,224.8
73,20480,10,1.7240845070422535,278,286.943661971831,,,,,,,,,,,,
80,22528,11,2.667236842105263,281,294.9868421052632,4.446675353497267,0.2,0.31622302532196045,100,-0.005845944304019213,2.2426600456237793,0.16181640625,-2.038197506964207,0.0003,0.015234828,,
86,24576,12,1.8136470588235296,283,289.11764705882354,5.600067655742168,0.2,0.3238679766654968,110,-0.005455358017934486,3.3829822540283203,0.103662109375,-2.0314406141638757,0.0003,0.010848877,,
93,26624,13,1.438586956521739,284,287.0,3.4907261611893774,0.2,0.4117008447647095,120,-0.008927392101031727,2.1218321323394775,0.1552734375,-2.0450963281095027,0.0003,0.014679261,,
100,28672,14,1.3121000000000003,286,283.02,2.989548594504595,0.2,0.16575616598129272,130,-0.010105098399799317,0.7528273463249207,0.1900390625,-2.0430197842419147,0.0003,0.013347893,,
,30000,,,,,4.439774281531572,0.2,0.1173517107963562,140,-0.00666791543335421,2.244055986404419,0.145361328125,-2.0056554932147264,0.0003,0.0110619925,-3.318,269.6
110,30720,15,0.27270000000000016,278,278.98,,,,,,,,,,,,
116,32768,16,-0.252,280,276.46,2.8653708652593197,0.2,0.2470380663871765,150,-0.008887694458826445,0.9085507988929749,0.16103515625,-1.9805708549916745,0.0003,0.016951367,,
124,34816,17,-0.18500000000000008,280,273.17,2.6529275972396134,0.2,0.1756541132926941,160,-0.007423514939728193,2.6184616088867188,0.14931640625,-1.913768930733204,0.0003,0.010851029,,
131,36864,18,0.4563999999999998,280,277.37,4.731509396433831,0.2,0.07804912328720093,170,-0.009410180598206353,1.677406668663025,0.11728515625,-1.9493937551975251,0.0003,0.012294015,,
139,38912,19,0.5722999999999998,279,278.97,5.127118351869285,0.2,-0.10282504558563232,180,-0.006087663555808831,2.9921517372131348,0.122265625,-1.9301770772784947,0.0003,0.009778402,,
,40000,,,,,4.424547874182463,0.2,-0.03908216953277588,190,-0.0060360414005117494,1.3361026048660278,0.132666015625,-1.933486457169056,0.0003,0.012572361,4.773999999999999,279.6
150,40960,20,0.9335,272,285.12,,,,,,,,,,,,
157,43008,21,0.7694999999999999,273,278.71,2.8796773076988758,0.2,0.09758996963500977,200,-0.010110129801614676,0.4497017562389374,0.1626953125,-1.9090377148240805,0.0003,0.011066597,,
164,45056,22,0.2104999999999998,273,272.76,3.476643613539636,0.2,0.2105533480644226,210,-0.01197744342207443,1.186726689338684,0.214111328125,-1.9596853367984295,0.0003,0.014957248,,
171,47104,23,0.17349999999999985,273,269.06,4.07507551535964,0.2,-0.0029686689376831055,220,-0.006767412184854038,2.093120813369751,0.1529296875,-1.9744617629796266,0.0003,0.010489821,,
179,49152,24,-0.2801,274,263.66,2.9127576768398287,0.2,0.32255077362060547,230,-0.00858238781656837,1.278089165687561,0.165869140625,-1.9149175230413675,0.0003,0.015282577,,
,50000,,,,,3.99344203453511,0.2,0.22954612970352173,240,-0.009090645237301942,1.5710405111312866,0.176318359375,-1.82420646622777,0.0003,0.012770734,5.219999999999999,324.2
191,51200,25,-0.19480000000000008,267,262.2,,,,,,,,,,,,
