time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
295,6,2048,8.7375,1,379.5,,,,,,,,,,,,
277,14,4096,6.353,2,367.5,0.2,1.6566659212112427,5.208476737886667,0.0003,0.120556640625,10,0.012965081,0.003782808780670166,-2.187650916725397,-0.01043037417693995,,
273,22,6144,7.4399999999999995,3,384.0,0.2,3.9351580142974854,5.988225400075317,0.0003,0.078271484375,20,0.010321828,-0.09966123104095459,-2.1766152173280715,-0.006519063917221501,,
269,30,8192,6.360454545454545,4,366.8636363636364,0.2,3.1862692832946777,5.456252286210656,0.0003,0.15546875,30,0.012392935,0.0699884295463562,-2.1691777370870113,-0.010369630786590278,,
,,10000,,,,0.2,4.388044357299805,7.300549592077732,0.0003,0.12158203125,40,0.013326496,0.01881498098373413,-2.1551056198775767,-0.013332857348723337,267.0,-2.6499999999999995
248,41,10240,5.177586206896552,5,346.9655172413793,,,,,,,,,,,,
245,49,12288,4.868571428571428,6,344.37142857142857,0.2,2.128448724746704,4.401088158227504,0.0003,0.189404296875,50,0.018794816,0.2612225413322449,-2.1306091219186785,-0.013950144889531658,,
241,59,14336,4.8775609756097555,7,344.1463414634146,0.2,2.3395798206329346,6.113190455734729,0.0003,0.14345703125,60,0.011707118,-0.012740731239318848,-2.119878326356411,-0.011863743283902295,,
243,67,16384,3.9114583333333335,8,340.5833333333333,0.2,1.0494979619979858,6.079506573826075,0.0003,0.19619140625,70,0.016198274,0.154710054397583,-2.0892907343804836,-0.01810897036048118,,
245,75,18432,3.661296296296297,9,340.1296296296296,0.2,3.216395378112793,6.102779089659452,0.0003,0.158056640625,80,0.013915675,-0.09448075294494629,-2.039517252519727,-0.008836140515631996,,
,,20000,,,,0.2,0.5210579037666321,4.497317251563072,0.0003,0.16201171875,90,0.01518334,0.09781718254089355,-2.0425426702946425,-0.01302016512490809,273.6,-6.720000000000001
235,86,20480,2.8263333333333334,10,336.51666666666665,,,,,,,,,,,,
237,94,22528,2.0316176470588236,11,328.6617647058824,0.2,0.9603438377380371,4.04409460760653,0.0003,0.162255859375,100,0.014871494,0.17603129148483276,-1.9916094098240138,-0.011621488718083129,,
238,102,24576,1.8658108108108107,12,329.3378378378378,0.2,3.6618127822875977,5.734290818870067,0.0003,0.176953125,110,0.014814097,0.1341380476951599,-1.9565881833434104,-0.01603950093849562,,
239,111,26624,0.8212195121951218,13,322.6219512195122,0.2,0.8175044059753418,4.7461585033684965,0.0003,0.189501953125,120,0.014964089,-0.03084254264831543,-1.864270070567727,-0.009210609908041078,,
240,119,28672,0.18311111111111084,14,317.26666666666665,0.2,0.8997060060501099,3.37868020683527,0.0003,0.207177734375,130,0.015995488,0.3361896276473999,-1.911815306544304,-0.013424410810694098,,
,,30000,,,,0.2,0.965429961681366,2.970615897886455,0.0003,0.19873046875,140,0.016220696,0.2994311451911926,-1.9427939746528864,-0.012842714905855247,347.0,4.558000000000001
232,132,30720,0.06061855670103087,15,315.74226804123714,,,,,,,,,,,,
232,140,32768,-0.4174000000000001,16,313.91,0.2,0.9149417877197266,3.734490151330829,0.0003,0.204296875,150,0.018853238,0.10456711053848267,-1.9901735533028841,-0.014298303565010429,,
234,148,34816,-1.1765999999999999,17,309.77,0.2,1.0677326917648315,3.4491478256881236,0.0003,0.15009765625,160,0.013662891,0.09017068147659302,-1.9425817251205444,-0.01092474202014273,,
232,158,36864,-1.9454999999999998,18,306.58,0.2,0.37003692984580994,2.6394338801503183,0.0003,0.156689453125,170,0.016967544,0.20015674829483032,-1.9032255217432976,-0.011635039982502348,,
228,170,38912,-1.3437000000000001,19,316.45,0.2,0.96944260597229,2.953661112487316,0.0003,0.2013671875,180,0.017611306,-0.13167977333068848,-1.935958230122924,-0.013487422806792892,,
,,40000,,,,0.2,0.26500028371810913,3.6240868531167507,0.0003,0.25634765625,190,0.018841177,0.18309181928634644,-1.8805643033236266,-0.014326938422163949,342.6,-3.406
219,186,40960,-2.1701,20,319.05,,,,,,,,,,,,
219,195,43008,-2.6301,21,315.0,0.2,1.4542399644851685,3.1688202749937773,0.0003,0.20634765625,200,0.016975526,0.044208407402038574,-1.8313682738691568,-0.01704647644655779,,
220,204,45056,-2.5646000000000004,22,318.46,0.2,1.5915181636810303,2.6020939886569976,0.0003,0.1939453125,210,0.02126408,0.26135140657424927,-1.854337837919593,-0.012924993717751932,,
220,213,47104,-2.7215,23,314.13,0.2,1.4720749855041504,3.0228451434522867,0.0003,0.193896484375,220,0.017769974,0.3928672671318054,-1.8780748039484023,-0.015726139076286928,,
220,223,49152,-2.3480999999999996,24,316.81,0.2,2.0682315826416016,5.296660188212991,0.0003,0.151806640625,230,0.014051821,0.23611092567443848,-1.9198336232453586,-0.01154593265382573,,
,,50000,,,,0.2,1.7802724838256836,3.576385774090886,0.0003,0.202001953125,240,0.01788819,0.2712646722793579,-1.9152154467999936,-0.014672380730917211,287.6,-6.859999999999999
216,236,51200,-2.1628999999999996,25,318.31,,,,,,,,,,,,
216,245,53248,-1.7147999999999999,26,323.55,0.2,1.184535264968872,3.1992094347253444,0.0003,0.208935546875,250,0.019340025,0.40277761220932007,-1.8854227129369974,-0.018931901494215708,,
217,254,55296,-2.0829999999999997,27,320.33,0.2,2.2170767784118652,3.88111170027405,0.0003,0.192578125,260,0.018086728,0.12436217069625854,-1.8644125562161207,-0.010980849087354727,,
217,263,57344,-1.6932,28,321.39,0.2,2.308666229248047,3.367806638404727,0.0003,0.157080078125,270,0.013338179,0.32745206356048584,-1.8922070860862732,-0.011510564027412329,,
218,271,59392,-1.8721999999999996,29,319.27,0.2,1.2013576030731201,3.638045064173639,0.0003,0.18173828125,280,0.018854875,0.24803972244262695,-1.717103236168623,-0.017064228191156872,,
,,60000,,,,0.2,1.0157041549682617,2.7268398916348815,0.0003,0.1783203125,290,0.017104408,0.44276368618011475,-1.8677811793982984,-0.016239237293484622,341.6,0.6080000000000005
213,287,61440,-1.2437999999999998,30,326.5,,,,,,,,,,,,
213,297,63488,-1.5536,31,327.47,0.2,0.36607950925827026,3.22641148455441,0.0003,0.20390625,300,0.017218366,0.5001046657562256,-1.7948113661259413,-0.011144650733331218,,
213,307,65536,-2.1996999999999995,32,322.01,0.2,0.4177163243293762,1.787573443353176,0.0003,0.220361328125,310,0.021089284,0.411516010761261,-1.8285049870610237,-0.010039707727264613,,
212,318,67584,-1.8530999999999997,33,327.39,0.2,1.014899730682373,2.8605583791621028,0.0003,0.204296875,320,0.021577245,0.4792889952659607,-1.7359081361442805,-0.012777280402951873,,
211,328,69632,-1.551,34,337.22,0.2,0.13917146623134613,1.6429085169918836,0.0003,0.224267578125,330,0.020468768,0.522183895111084,-1.6745087213814258,-0.0156898884815746,,
,,70000,,,,0.2,0.8893908858299255,2.1490880655124784,0.0003,0.18544921875,340,0.015554627,0.3442659378051758,-1.4821768552064896,-0.013241543259937316,378.6,2.2360000000000007
205,348,71680,-1.9089,35,332.99,,,,,,,,,,,,
206,357,73728,-1.8742999999999999,36,329.53,0.2,0.5341511964797974,2.9364010665565727,0.0003,0.18603515625,350,0.017260745,-0.0694206953048706,-1.760578927025199,-0.010820173087995499,,
206,367,75776,-1.7659000000000002,37,328.7,0.2,1.4346271753311157,4.512159674800932,0.0003,0.15166015625,360,0.0130170155,0.349570631980896,-1.8190311282873153,-0.011947562714340165,,
205,378,77824,-1.604,38,342.54,0.2,0.9833062887191772,3.1005830977112057,0.0003,0.171240234375,370,0.018441178,0.4660634994506836,-1.5269044525921345,-0.01555349116679281,,
204,389,79872,-2.5423999999999993,39,346.31,0.2,0.2708994150161743,1.2813839537557214,0.0003,0.17060546875,380,0.01674526,0.7185577154159546,-1.3053660720586777,-0.009667971049202606,,
,,80000,,,,0.2,0.2952989339828491,1.3817049138480797,0.0003,0.18212890625,390,0.014934566,0.5209863185882568,-1.351231748610735,-0.010532268567476421,371.2,0.3119999999999997
201,407,81920,-2.2995,40,352.05,,,,,,,,,,,,
201,416,83968,-2.7586,41,347.93,0.2,0.1640997678041458,2.6540128852240743,0.0003,0.1607421875,400,0.016289975,0.4072338938713074,-1.3320494309067725,-0.011220210543251596,,
201,427,86016,-2.9492000000000003,42,356.98,0.2,1.350152611732483,3.4536842158064247,0.0003,0.1203125,410,0.014384546,0.2940481901168823,-1.5961327634751796,-0.007788247951248195,,
