rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/clip_fraction,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/loss,eval/mean_reward,eval/mean_ep_length
-1.6666666666666667,302,294.3333333333333,1,2048,6,,,,,,,,,,,,
-2.6666666666666665,283,263.1333333333333,2,4096,14,-0.013733132052584552,0.015188812,0.0003,0.2,0.1265625,-2.1886038348078727,0.01762598752975464,10,3.9446855701506136,1.5842825174331665,,
0.5263157894736842,272,298.7894736842105,3,6144,22,-0.01759240032697562,0.011680381,0.0003,0.2,0.131201171875,-2.1747431315481665,0.11850214004516602,20,4.17132377102971,1.973049283027649,,
0.7407407407407407,269,298.5925925925926,4,8192,30,-0.0176634204457514,0.013752535,0.0003,0.2,0.159423828125,-2.159356614947319,0.06190454959869385,30,4.703850141912699,0.6436216235160828,,
,,,,10000,,-0.015567046697833575,0.012268901,0.0003,0.2,0.1189453125,-2.14841553196311,0.4294127821922302,40,3.5416405625641345,1.2617310285568237,-2.0,234.0
-0.2777777777777778,243,279.75,5,10240,42,,,,,,,,,,,,
0.24390243902439024,244,292.780487804878,6,12288,50,-0.018467005193815566,0.013355972,0.0003,0.2,0.155615234375,-2.13838971555233,0.2892587184906006,50,4.908839565515518,2.0712218284606934,,
1.25,245,297.6666666666667,7,14336,58,-0.01802805094048381,0.014905692,0.0003,0.2,0.150634765625,-2.1465872421860697,0.16769826412200928,60,4.98119884133339,3.40818452835083,,
1.8518518518518519,244,302.22222222222223,8,16384,67,-0.018211355179664677,0.0167185,0.0003,0.2,0.172314453125,-2.1365828186273577,0.04003441333770752,70,5.066327792033553,2.4428529739379883,,
2.542372881355932,243,308.8305084745763,9,18432,75,-0.024566462487564424,0.019701276,0.0003,0.2,0.24248046875,-2.1083383589982985,0.19664442539215088,80,4.240920589119196,0.9821215867996216,,
,,,,20000,,-0.018957314465660603,0.01745493,0.0003,0.2,0.18583984375,-2.0834383137524126,-0.1140669584274292,90,3.336937052756548,1.7367204427719116,16.0,572.0
2.4615384615384617,210,307.9846153846154,10,20480,97,,,,,,,,,,,,
2.5675675675675675,213,303.8243243243243,11,22528,105,-0.021189870947273447,0.015970388,0.0003,0.2,0.1662109375,-2.046583694592118,0.2436496615409851,100,4.6945069957524534,1.6966478824615479,,
2.75,214,306.45,12,24576,114,-0.017139180503727404,0.015797947,0.0003,0.2,0.159033203125,-2.03866985142231,0.09102660417556763,110,4.939073834568262,2.274430274963379,,
1.9318181818181819,215,302.4318181818182,13,26624,123,-0.01866498450981453,0.016089475,0.0003,0.2,0.1794921875,-2.021731360256672,-0.20598149299621582,120,4.751820374652743,2.003882646560669,,
1.8279569892473118,216,301.31182795698925,14,28672,132,-0.020355734566692263,0.018266521,0.0003,0.2,0.1970703125,-2.01199382469058,0.046717286109924316,130,2.5388868267647924,0.37716808915138245,,
,,,,30000,,-0.02029378586448729,0.016151726,0.0003,0.2,0.175048828125,-1.9801415894180536,0.13728094100952148,140,3.8223404375836254,1.412314772605896,0.0,407.4
2.3,204,305.48,15,30720,149,,,,,,,,,,,,
2.9,205,309.88,16,32768,159,-0.018101503953221253,0.01973062,0.0003,0.2,0.224072265625,-1.9773224603384734,0.04551595449447632,150,3.059380897693336,0.7009909749031067,,
3.7,206,317.65,17,34816,168,-0.017910815941286275,0.014058985,0.0003,0.2,0.13095703125,-1.9568990454077722,-0.006328940391540527,160,5.315854011662305,0.9031317234039307,,
