rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
-9.99230769230769,1000,2048,2,77.34615384615384,1,,,,,,,,,,,,
-9.887037037037036,841,4096,4,75.77777777777777,2,10,0.007862929,-1.0932747501879931,0.2,0.050341796875,-0.007549072857364081,-0.04241180419921875,6.739826509356499,0.0003,2.6484782695770264,,
-9.368831168831168,789,6144,7,78.84415584415585,3,20,0.00842661,-1.0813692696392536,0.2,0.072412109375,-0.010411267883318942,0.22732871770858765,4.956170452386141,0.0003,1.9199966192245483,,
-9.07142857142857,772,8192,10,83.4795918367347,4,30,0.010783996,-1.0535846412181855,0.2,0.1056640625,-0.011849056281789672,0.23014146089553833,5.5924824655056,0.0003,1.8636746406555176,,
,,10000,,,,40,0.014033125,-1.0365810681134462,0.2,0.194189453125,-0.01862501996656647,0.3454684615135193,4.75165441185236,0.0003,1.4085606336593628,301.0,-10.0
-9.109,721,10240,14,85.49,5,,,,,,,,,,,,
-8.964999999999998,722,12288,17,89.7,6,50,0.01122872,-1.0179915705695748,0.2,0.090380859375,-0.012043187295785174,0.22408783435821533,4.079103615880013,0.0003,2.0338118076324463,,
-8.556,726,14336,19,98.79,7,60,0.011096983,-0.9681796200573445,0.2,0.117431640625,-0.016175291818217374,0.2674635052680969,3.0720962900668383,0.0003,2.1269941329956055,,
-8.636,732,16384,22,103.4,8,70,0.012182628,-0.9141894267871976,0.2,0.12421875,-0.012658405082765967,0.2261860966682434,4.345844548940659,0.0003,2.6343581676483154,,
-8.796999999999999,724,18432,25,113.81,9,80,0.010174363,-0.8533971592783928,0.2,0.160595703125,-0.016292182938195766,0.3355183005332947,3.1050835341215133,0.0003,1.7151697874069214,,
,,20000,,,,90,0.013068196,-0.854987577535212,0.2,0.161865234375,-0.016828405307023786,0.5132019519805908,1.7451845053583384,0.0003,0.7069443464279175,301.0,-10.0
-8.550999999999998,707,20480,28,126.99,10,,,,,,,,,,,,
