time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
961,1,-8.872083333333332,2048,83.0,2,,,,,,,,,,,,
794,2,-9.64943396226415,4096,77.01886792452831,5,-0.015681982040405273,4.853084564208984,0.009662083,8.614505343139172,0.0003,0.2,0.052685546875,10,-0.007730230048764497,-1.0928020525723696,,
770,3,-9.708823529411765,6144,71.89411764705882,7,0.24902373552322388,1.5043153762817383,0.013951918,4.602503694593906,0.0003,0.2,0.1314453125,20,-0.014018541487166658,-1.0808078121393918,,
751,4,-9.7136,8192,75.7,10,0.26405441761016846,1.8357725143432617,0.011105923,5.00443052276969,0.0003,0.2,0.08896484375,30,-0.011015106692502741,-1.0852149352431297,,
,,,10000,,,0.31195396184921265,2.322575330734253,0.009776027,4.183125198632479,0.0003,0.2,0.07607421875,40,-0.011661764056771062,-1.0808892104774714,301.0,-13.0
706,5,-9.6929,10240,69.13,14,,,,,,,,,,,,
712,6,-9.3105,12288,71.33,17,0.22826194763183594,2.89076828956604,0.010992227,5.0012739833444355,0.0003,0.2,0.102197265625,50,-0.013279833827982656,-1.078730707988143,,
712,7,-9.6263,14336,67.67,20,0.2799222469329834,1.6478493213653564,0.011276502,4.264757322892547,0.0003,0.2,0.146142578125,60,-0.014937908967840485,-1.0583440754562616,,
711,8,-9.5471,16384,71.76,23,0.3862308859825134,1.917620301246643,0.012547048,3.06191808655858,0.0003,0.2,0.16240234375,70,-0.017894022235122976,-1.06030762642622,,
711,9,-9.7045,18432,75.29,25,0.21984177827835083,2.4726951122283936,0.0134094525,3.3917589109390973,0.0003,0.2,0.1681640625,80,-0.01724002581613604,-1.0541855357587337,,
,,,20000,,,0.3140971064567566,1.134925127029419,0.012454368,1.950724183395505,0.0003,0.2,0.14921875,90,-0.01450541105295997,-1.0352603387087584,301.0,-13.319999999999999
691,10,-9.931000000000001,20480,83.23,29,,,,,,,,,,,,
