time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,train/learning_rate,train/loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
955,1,2048,2,-9.736206896551723,70.10344827586206,,,,,,,,,,,,
796,2,4096,5,-10.10433962264151,76.30188679245283,10,-0.009507133963052184,0.072900390625,-0.015229940414428711,-1.091971117258072,0.2,0.008606199,0.0003,4.682759761810303,6.714732065796852,,
774,3,6144,7,-10.074027777777777,81.40277777777777,20,-0.011734609812265262,0.11533203125,0.34040629863739014,-1.078669450804591,0.2,0.010899017,0.0003,1.3447291851043701,4.412373983860016,,
768,4,8192,10,-10.096060606060606,81.97979797979798,30,-0.006587069330998929,0.067822265625,0.39710307121276855,-1.0727270923554897,0.2,0.009197209,0.0003,1.613059163093567,3.1951664254069327,,
,,10000,,,,40,-0.01911177892179694,0.19951171875,0.389803409576416,-1.0652345098555087,0.2,0.014663842,0.0003,0.9326850771903992,3.087033373862505,-10.626000000000001,248.2
730,5,10240,14,-10.137200000000002,85.08,,,,,,,,,,,,
737,6,12288,16,-9.6275,77.97,50,-0.0077003375306958334,0.09423828125,0.34434884786605835,-1.0508321441709996,0.2,0.009991696,0.0003,0.8983327150344849,2.5870447155088185,,
736,7,14336,19,-9.3986,74.44,60,-0.01227280865132343,0.144677734375,0.2202804684638977,-1.0362937226891518,0.2,0.0135948425,0.0003,1.8924838304519653,2.9320665575563907,,
736,8,16384,22,-9.340200000000001,78.65,70,-0.009946841493365355,0.12080078125,0.3563418984413147,-1.0296137692406773,0.2,0.009870126,0.0003,0.6883086562156677,2.4294227346777917,,
735,9,18432,25,-9.5435,89.71,80,-0.013138657246599905,0.15087890625,0.28865116834640503,-1.0242004161700606,0.2,0.012280259,0.0003,0.4437275528907776,1.452822141163051,,
,,20000,,,,90,-0.005862187106686179,0.103857421875,0.02684962749481201,-0.9985182227566838,0.2,0.009179168,0.0003,0.2679912745952606,0.6593385678716004,-8.484,261.0
715,10,20480,28,-9.5414,98.93,,,,,,,,,,,,
719,11,22528,31,-9.068599999999998,112.43,100,-0.01915704531420488,0.243212890625,0.19309085607528687,-0.9470552073791623,0.2,0.016226977,0.0003,0.8244684934616089,2.450743541866541,,
719,12,24576,34,-8.8143,127.38,110,-0.00836680204665754,0.12705078125,0.10592406988143921,-0.966331510618329,0.2,0.012051689,0.0003,2.106797695159912,3.3923700213432313,,
719,13,26624,36,-8.592600000000001,145.51,120,-0.0074573230638634415,0.11337890625,0.18891030550003052,-0.9278639171272516,0.2,0.010074267,0.0003,1.3265504837036133,2.1163022205233575,,
721,14,28672,39,-8.7969,156.39,130,-0.007325811568443896,0.143212890625,0.24469000101089478,-0.9119827000424265,0.2,0.013038,0.0003,1.311799168586731,2.1141456942074,,
,,30000,,,,140,-0.012387122120708227,0.20283203125,0.26378631591796875,-0.8578415416181088,0.2,0.011135856,0.0003,0.6232252717018127,1.6382773199118674,-11.248000000000001,321.2
706,15,30720,43,-8.8517,172.48,,,,,,,,,,,,
707,16,32768,46,-8.995600000000001,187.61,150,-0.004449785660835914,0.107080078125,-0.1906585693359375,-0.888213848695159,0.2,0.008794196,0.0003,0.6789579391479492,1.9416821793187409,,
707,17,34816,49,-8.7273,201.48,160,-0.006779168616048992,0.13173828125,-0.04243755340576172,-0.8139723381027579,0.2,0.011688165,0.0003,0.9159512519836426,1.9727932546287774,,
710,18,36864,51,-8.7042,219.13,170,-0.009055163900484331,0.128662109375,0.07468080520629883,-0.8414398957043886,0.2,0.011977822,0.0003,2.1554031372070312,2.385015480592847,,
712,19,38912,54,-8.697899999999999,229.49,180,-0.0027574120395001955,0.130859375,0.24039357900619507,-0.8268334422260523,0.2,0.008400857,0.0003,0.3268919289112091,1.6635515903122724,,
,,40000,,,,190,-0.009532004033098928,0.20009765625,0.17635184526443481,-0.919148145057261,0.2,0.014460982,0.0003,0.18665340542793274,1.4769925035536289,-11.206,323.8
701,20,40960,58,-8.470300000000002,236.8,,,,,,,,,,,,
698,21,43008,61,-8.055,235.29,200,-0.008600755699444563,0.138037109375,-0.2787386178970337,-0.9250726832076908,0.2,0.011245494,0.0003,0.8109201192855835,2.679972749389708,,
700,22,45056,64,-8.175600000000001,248.19,210,-0.011030797430430539,0.152099609375,0.2035568356513977,-0.9273194089531899,0.2,0.0128417965,0.0003,0.6261979937553406,2.876751894131303,,
696,23,47104,67,-8.187999999999999,260.16,220,-0.016909013982512988,0.234375,0.24994707107543945,-0.9211607554927468,0.2,0.021146463,0.0003,1.689022421836853,2.6671692095696926,,
697,24,49152,70,-8.7289,263.34,230,-0.008610686418251134,0.169873046875,0.18345457315444946,-0.8770773077383638,0.2,0.017277924,0.0003,0.9428982734680176,2.7716775266453624,,
,,50000,,,,240,-0.005335326633939985,0.1150390625,0.2154865264892578,-0.8645751660689711,0.2,0.006984853,0.0003,0.34245115518569946,1.7368103960528969,-6.858,284.6
692,25,51200,73,-8.9188,262.09,,,,,,,,,,,,
694,26,53248,76,-9.047,264.94,250,-0.007881098339566961,0.12548828125,0.35319095849990845,-0.8342204196378589,0.2,0.011011235,0.0003,0.7844281196594238,1.86175691569224,,
697,27,55296,79,-9.1402,274.74,260,-0.010160719795385376,0.176416015625,0.0707472562789917,-0.8442991690710187,0.2,0.010335156,0.0003,0.5501024723052979,2.2873640045523644,,
699,28,57344,82,-8.9808,278.98,270,-0.004774289674242027,0.134130859375,0.05048006772994995,-0.821545635163784,0.2,0.009334849,0.0003,0.8867498636245728,1.9925441367551684,,
699,29,59392,84,-8.9532,265.53,280,-0.006946893449639902,0.16474609375,0.02614116668701172,-0.8469696452841162,0.2,0.015281511,0.0003,0.7143081426620483,2.0155727012082933,,
,,60000,,,,290,-0.009072705230209976,0.170654296875,0.12595832347869873,-0.8142269376665354,0.2,0.011541647,0.0003,2.367286443710327,2.519881747663021,-13.0,301.0
695,30,61440,88,-8.9816,258.44,,,,,,,,,,,,
