time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,eval/mean_reward,eval/mean_ep_length
1,2,2048,1019,63.107142857142854,-10.671249999999999,,,,,,,,,,,,
2,5,4096,815,68.79661016949153,-10.51508474576271,0.13642578125,4.830750133097172,10,0.2,-0.01468000722816214,1.5232714414596558,0.010779556,-1.0889465793967248,0.029733240604400635,0.0003,,
3,7,6144,769,68.86516853932584,-10.145730337078652,0.089404296875,5.412293013185263,20,0.2,-0.011458355403738097,2.1889636516571045,0.0103488,-1.0821395732462407,0.1970471739768982,0.0003,,
4,10,8192,758,72.37,-9.75335,0.09208984375,5.020447686314583,30,0.2,-0.009562722605187446,2.4139323234558105,0.009808432,-1.0768271923065185,0.3143284320831299,0.0003,,
,,10000,,,,0.086376953125,4.0713327374309305,40,0.2,-0.008489330494194291,2.0093934535980225,0.007950459,-1.0710050027817488,0.3103211522102356,0.0003,-10.863999999999999,29.8
5,13,10240,753,73.89,-9.802,,,,,,,,,,,,
6,16,12288,756,76.98,-9.63035,0.141650390625,2.6075415179133414,50,0.2,-0.01388934038404841,1.1967108249664307,0.012880687,-1.0620798956602813,0.22102850675582886,0.0003,,
7,18,14336,759,83.49,-9.6459,0.174169921875,3.6107131633907557,60,0.2,-0.01519695071328897,1.1175079345703125,0.011714639,-1.0509344425052405,0.21198230981826782,0.0003,,
8,21,16384,758,88.32,-9.810099999999998,0.12265625,1.7790098335593938,70,0.2,-0.011013976545655169,1.34511399269104,0.00807836,-1.0347102647647262,0.3795384168624878,0.0003,,
9,24,18432,756,91.85,-9.60865,0.13837890625,2.735365194454789,80,0.2,-0.016125972667941822,1.4889379739761353,0.011895267,-1.0198212929069996,0.26918214559555054,0.0003,,
,,20000,,,,0.066455078125,2.9829497661441566,90,0.2,-0.006563304270093795,1.6238436698913574,0.00751656,-0.9919286226853729,0.12823796272277832,0.0003,-11.5,301.0
10,28,20480,730,101.59,-9.65535,,,,,,,,,,,,
11,30,22528,729,106.94,-9.411000000000001,0.211962890625,1.559580929391086,100,0.2,-0.016776688885875045,0.7120030522346497,0.012795905,-0.9612914495170116,0.27877652645111084,0.0003,,
12,33,24576,730,115.99,-9.5803,0.1458984375,3.2864749908447264,110,0.2,-0.013442138995742425,1.503010869026184,0.008594238,-0.9910453651100397,-0.009866595268249512,0.0003,,
13,36,26624,730,126.22,-9.533400000000002,0.15830078125,2.426688555255532,120,0.2,-0.014228600032220129,0.9963579177856445,0.010587191,-0.9381079411134123,0.25091367959976196,0.0003,,
14,39,28672,730,141.62,-9.354300000000002,0.09189453125,1.761952392011881,130,0.2,-0.005806025807396508,1.1350613832473755,0.008839192,-0.9488217541947961,0.11567366123199463,0.0003,,
,,30000,,,,0.1060546875,1.8571956829167902,140,0.2,-0.009362988547945861,0.5211406350135803,0.007815325,-0.8943581227213144,0.12898260354995728,0.0003,-11.540000000000001,301.0
15,42,30720,718,151.03,-9.19825,,,,,,,,,,,,
16,45,32768,719,164.42,-9.210200000000002,0.1259765625,2.3645460087805987,150,0.2,-0.012083644175436347,1.5817407369613647,0.010574972,-0.8699139075353741,0.07992476224899292,0.0003,,
17,48,34816,720,177.55,-9.1958,0.10244140625,1.6143679405562579,160,0.2,-0.006572451663669199,0.4057457745075226,0.009710591,-0.9279696935787797,0.30023956298828125,0.0003,,
18,51,36864,721,183.03,-9.52835,0.14296875,1.8183361295610667,170,0.2,-0.006701785398763605,0.8288122415542603,0.014457117,-0.9370500404387713,0.13749080896377563,0.0003,,
19,53,38912,723,195.91,-9.39265,0.10107421875,2.686270966567099,180,0.2,-0.011688039204454981,1.742908239364624,0.009077048,-0.9275572335347533,-0.14054608345031738,0.0003,,
,,40000,,,,0.13798828125,1.741789075685665,190,0.2,-0.00909052222414175,0.5986961126327515,0.010734661,-0.9541691040620208,0.06944465637207031,0.0003,-7.425999999999999,342.6
20,57,40960,712,207.34,-8.91155,,,,,,,,,,,,
21,60,43008,714,214.8,-8.730750000000002,0.103466796875,3.1726101161912084,200,0.2,-0.005981866325601004,1.1623448133468628,0.010019299,-0.950766054354608,0.03269696235656738,0.0003,,
22,62,45056,716,228.41,-8.48865,0.143017578125,3.221005383320153,210,0.2,-0.00980281491065398,1.0398660898208618,0.009112656,-0.9428852515295147,0.21673548221588135,0.0003,,
23,65,47104,717,241.45,-8.620899999999999,0.11513671875,3.185123279131949,220,0.2,-0.009547342121368273,0.8771209120750427,0.0112568755,-0.9473982732743025,0.22024816274642944,0.0003,,
24,68,49152,718,253.96,-7.97815,0.14091796875,2.2221704583615063,230,0.2,-0.00951165065926034,1.468994379043579,0.011476497,-0.939915693923831,0.10093533992767334,0.0003,,
,,50000,,,,0.16923828125,3.1733273146674037,240,0.2,-0.011716006952337921,0.7579928040504456,0.009438021,-0.9014917021617294,0.0191652774810791,0.0003,-11.540000000000001,301.0
25,72,51200,711,254.21,-7.63125,,,,,,,,,,,,
26,74,53248,711,254.78,-7.802149999999999,0.11923828125,3.7861963901668787,250,0.2,-0.0084265295881778,2.657902479171753,0.0067424644,-0.9634934654459357,-0.07169640064239502,0.0003,,
27,77,55296,713,263.3,-7.2715000000000005,0.14169921875,2.5368181629106403,260,0.2,-0.007839374151080847,1.321718454360962,0.011135064,-0.9637676713988185,0.11931830644607544,0.0003,,
28,80,57344,714,271.21,-6.9449000000000005,0.167138671875,2.7455162616446613,270,0.2,-0.008468591142445803,1.2615735530853271,0.012409278,-0.9846096351742745,0.11702597141265869,0.0003,,
29,82,59392,716,270.77,-6.732599999999999,0.13798828125,3.435057983919978,280,0.2,-0.005231145760626532,2.0003082752227783,0.008636322,-0.9743275489658118,0.11538970470428467,0.0003,,
,,60000,,,,0.136767578125,3.9506474969908596,290,0.2,-0.005340976441220846,2.146184206008911,0.010900052,-0.9506930748000741,-0.02953338623046875,0.0003,-9.229000000000001,323.0
30,86,61440,709,270.61,-6.12455,,,,,,,,,,,,
31,89,63488,709,273.72,-5.845949999999999,0.146630859375,2.637629777379334,300,0.2,-0.0090393896040041,2.0917458534240723,0.00971967,-0.8817425603047013,0.1408115029335022,0.0003,,
32,92,65536,710,284.98,-5.406049999999999,0.1234375,3.4343717923387884,310,0.2,-0.005498268015799113,1.4920860528945923,0.009927815,-0.9547341052442789,0.06715679168701172,0.0003,,
33,94,67584,711,283.72,-5.20765,0.12568359375,3.7053130138665438,320,0.2,-0.008060167811345309,2.856210470199585,0.013472309,-0.9606835849583149,0.08866614103317261,0.0003,,
34,97,69632,711,284.09,-5.3355500000000005,0.123828125,3.3829512232914567,330,0.2,-0.007822416994895321,1.405910611152649,0.0092141535,-0.9763951413333416,-0.02901625633239746,0.0003,,
,,70000,,,,0.101123046875,3.8285233661532403,340,0.2,-0.013344367904937825,1.631333351135254,0.010605086,-0.9744294200092554,0.20099812746047974,0.0003,-12.38,301.0
35,101,71680,706,289.68,-4.803249999999999,,,,,,,,,,,,
36,104,73728,707,286.45,-4.214849999999999,0.091943359375,5.295866160839796,350,0.2,-0.007820737041765825,3.1783061027526855,0.007734865,-0.9709842989221216,0.17531639337539673,0.0003,,
37,106,75776,708,286.46,-4.009799999999999,0.086767578125,5.111332462355494,360,0.2,-0.008930071153736207,2.1315395832061768,0.00802453,-0.9684557180851698,0.07676583528518677,0.0003,,
38,109,77824,708,279.23,-3.98065,0.15673828125,3.6405715055763723,370,0.2,-0.010537585959536955,1.0665000677108765,0.012905073,-0.9706128170713783,-0.11775124073028564,0.0003,,
39,112,79872,709,284.25,-4.00975,0.131787109375,4.435095864906907,380,0.2,-0.009752694083726966,2.408949375152588,0.009303019,-0.9655551332980394,0.03568464517593384,0.0003,,
,,80000,,,,0.1537109375,4.138525133766234,390,0.2,-0.008200700799352489,1.9214993715286255,0.01046035,-0.9508839346468448,0.03357267379760742,0.0003,-5.6129999999999995,376.2
40,116,81920,704,277.46,-3.716699999999999,,,,,,,,,,,,
41,119,83968,704,277.06,-3.85775,0.134130859375,4.100584264099598,400,0.2,-0.00560552159731742,1.9499402046203613,0.009593498,-0.9863471144810319,0.06424087285995483,0.0003,,
42,121,86016,705,280.16,-4.283449999999999,0.14970703125,3.3114084606990217,410,0.2,-0.008473568042973056,1.061267614364624,0.010667326,-0.9881647948175669,0.15204352140426636,0.0003,,
43,124,88064,706,280.98,-4.1645,0.13427734375,4.428155052289367,420,0.2,-0.0062827712914440784,2.2565155029296875,0.01259391,-0.9656186303123832,0.06882888078689575,0.0003,,
,,90000,,,,0.107861328125,3.2678327798843383,430,0.2,-0.0049948010564548895,0.3413603603839874,0.008616975,-0.973291271738708,0.1359565258026123,0.0003,-10.075,332.2
44,128,90112,701,284.73,-3.954149999999999,,,,,,,,,,,,
45,131,92160,702,276.09,-3.90095,0.084765625,5.252718026563525,440,0.2,-0.006448734935838729,2.474154233932495,0.009361802,-0.9619156444445253,0.09364205598831177,0.0003,,
46,134,94208,702,274.44,-3.61055,0.128173828125,2.96507313195616,450,0.2,-0.004286154932924546,1.167595386505127,0.008324594,-0.965456610545516,0.17116135358810425,0.0003,,
47,136,96256,702,277.9,-3.7819500000000006,0.19609375,6.075309863500297,460,0.2,-0.016448189568473028,0.7544716596603394,0.013178521,-0.9814235685393214,0.16848689317703247,0.0003,,
48,139,98304,703,275.21,-3.4783500000000003,0.129833984375,3.481493468955159,470,0.2,-0.006409960766904988,1.1649010181427002,0.010127974,-0.954438978806138,-0.14592373371124268,0.0003,,
,,100000,,,,0.192041015625,3.6796121850609778,480,0.2,-0.01209976579848444,0.8841363191604614,0.01415649,-0.9619864769279957,0.012400388717651367,0.0003,-11.42,301.0
49,143,100352,700,286.7,-3.6238500000000005,,,,,,,,,,,,
50,146,102400,701,289.05,-3.97175,0.18515625,3.001468195952475,490,0.2,-0.008670383748540188,1.5703917741775513,0.011879319,-0.960619643330574,0.02884054183959961,0.0003,,
51,148,104448,701,288.44,-3.4404500000000007,0.1048828125,4.895518488436937,500,0.2,-0.009296335939143318,1.385817289352417,0.012236048,-0.9495868286117911,0.07932895421981812,0.0003,,
52,151,106496,703,291.73,-3.678,0.13876953125,4.313338956236839,510,0.2,-0.008048194058937952,2.998924970626831,0.008804152,-0.944034174643457,0.13348662853240967,0.0003,,
