time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
2048,-10.09764705882353,2,975,60.0,1,,,,,,,,,,,,
4096,-10.06811320754717,5,812,76.15094339622641,2,0.084326171875,0.011771471,-0.015446667518699542,-1.0901529893279076,2.7645039558410645,0.0003,-0.00035881996154785156,0.2,7.210638665407896,10,,
6144,-9.89377049180328,7,790,99.14754098360656,3,0.113232421875,0.013327135,-0.021437159454217182,-1.0710784822702408,1.9326047897338867,0.0003,0.10746961832046509,0.2,4.966990260779857,20,,
8192,-9.469999999999999,10,788,115.71428571428571,4,0.100244140625,0.009739737,-0.011578487401129678,-1.0670913457870483,0.4693116545677185,0.0003,-0.0964881181716919,0.2,2.744871557690203,30,,
10000,,,,,,0.063916015625,0.0067894347,-0.009430570088443346,-1.0386465817689896,2.8142244815826416,0.0003,0.06712990999221802,0.2,3.744299504905939,40,-9.373999999999999,341.6
10240,-8.625128205128204,13,735,131.16666666666666,5,,,,,,,,,,,,
12288,-8.233214285714284,16,736,145.23809523809524,6,0.093017578125,0.0101535255,-0.008912010127096437,-1.0389758601784707,1.8574223518371582,0.0003,0.12601709365844727,0.2,3.3003791064955292,50,,
14336,-7.965280898876404,19,737,157.82022471910113,7,0.110009765625,0.01081989,-0.00867261393723311,-1.0336483873426914,1.682289719581604,0.0003,0.1804417371749878,0.2,4.7100366316735744,60,,
16384,-7.483020833333335,22,739,168.32291666666666,8,0.109423828125,0.011707243,-0.007354141358518973,-1.0165864761918784,1.205317497253418,0.0003,0.09575504064559937,0.2,2.9922097478993237,70,,
18432,-6.1431000000000004,24,738,181.57,9,0.103662109375,0.009572292,-0.006855273478140589,-0.9870696410536766,2.2533934116363525,0.0003,0.10799169540405273,0.2,3.47975998762995,80,,
20000,,,,,,0.072314453125,0.008923497,-0.00675249667983735,-0.9962898308411241,2.3513481616973877,0.0003,0.15034359693527222,0.2,9.234528581798077,90,21.218,749.8
20480,-4.959200000000001,29,687,195.37,10,,,,,,,,,,,,
22528,-3.9022999999999994,32,691,213.42,11,0.083740234375,0.009284505,-0.009819738648366183,-0.9654576495289803,2.8574588298797607,0.0003,0.18416976928710938,0.2,6.712306399643421,100,,
24576,-2.1205,35,694,230.99,12,0.106005859375,0.0088993125,-0.008544228173559532,-0.9220236159861088,3.0968260765075684,0.0003,0.13884961605072021,0.2,5.975453749671578,110,,
26624,-0.23369999999999996,38,698,247.67,13,0.066064453125,0.005873323,-0.0056094093990395775,-0.8706841601058841,3.874201536178589,0.0003,0.19678783416748047,0.2,9.690868623554707,120,,
28672,0.8590000000000001,40,700,260.34,14,0.109765625,0.012060078,-0.00815141933853738,-0.858489440008998,6.265200138092041,0.0003,0.17416369915008545,0.2,9.720074361562729,130,,
30000,,,,,,0.115087890625,0.010455976,-0.00874533912719926,-0.8694419730454683,3.6634151935577393,0.0003,0.19717711210250854,0.2,7.091564152389765,140,48.248000000000005,717.0
30720,2.4339999999999993,45,675,276.69,15,,,,,,,,,,,,
32768,5.9179,48,679,296.6,16,0.089599609375,0.008641513,-0.008292906224960461,-0.8209526760503649,4.172726631164551,0.0003,0.2592739462852478,0.2,10.568897126615047,150,,
34816,9.440800000000001,50,683,312.85,17,0.098095703125,0.007864878,-0.005699384622857906,-0.7925487698987126,6.681980133056641,0.0003,0.2095223069190979,0.2,14.069386073946953,160,,
36864,11.224,53,686,328.92,18,0.06953125,0.0075704674,-0.004189969797153026,-0.770134212821722,7.958677291870117,0.0003,0.24735772609710693,0.2,17.351136684417725,170,,
38912,13.307,56,688,347.12,19,0.1404296875,0.010137435,-0.00806976835738169,-0.7627902131527662,4.5373005867004395,0.0003,0.25650984048843384,0.2,10.506779688596726,180,,
40000,,,,,,0.07060546875,0.005828107,-0.00354884653352201,-0.688436708599329,9.86488151550293,0.0003,0.2658451199531555,0.2,14.902508744597435,190,90.35000000000001,1019.6
40960,17.814899999999998,62,659,356.28,20,,,,,,,,,,,,
43008,24.125700000000002,64,662,380.92,21,0.07001953125,0.008022877,-0.004874022479634732,-0.6364690214395523,10.070672988891602,0.0003,0.30606794357299805,0.2,19.13520221710205,200,,
45056,27.728699999999993,67,666,387.98,22,0.052099609375,0.007517278,-0.0022713433485478164,-0.6275795444846153,8.200754165649414,0.0003,0.30954068899154663,0.2,24.960279923677444,210,,
47104,31.151499999999995,70,668,404.77,23,0.05859375,0.006302784,-0.0038536298423423434,-0.6308934336528182,11.713618278503418,0.0003,0.34007954597473145,0.2,22.687955170869827,220,,
49152,37.595699999999994,73,670,427.52,24,0.073388671875,0.00490388,-0.0007128445577109233,-0.6202545781619847,8.967245101928711,0.0003,0.3143377900123596,0.2,24.347780868411064,230,,
50000,,,,,,0.0943359375,0.007908182,-0.00146255639847368,-0.6297097500413656,6.873116493225098,0.0003,0.42509299516677856,0.2,14.812991331517697,240,30.124000000000002,878.2
51200,41.4541,78,652,442.91,25,,,,,,,,,,,,
53248,43.5624,81,654,457.4,26,0.0990234375,0.0067236125,-0.0018611745865200647,-0.6320317442528903,8.740630149841309,0.0003,0.30852532386779785,0.2,19.198538917303086,250,,
55296,48.883599999999994,84,657,479.94,27,0.08115234375,0.009434914,-0.000458109233295545,-0.6284252336248756,12.58578109741211,0.0003,0.250008761882782,0.2,14.990184967219829,260,,
57344,48.883599999999994,87,658,479.94,28,0.060888671875,0.0064546485,-0.0024433946164208464,-0.6200800106860698,8.889241218566895,0.0003,0.32168203592300415,0.2,19.100378900766373,270,,
59392,56.31719999999999,89,660,504.61,29,0.058544921875,0.005590517,-0.000304035289445892,-0.5573997908271849,10.838521957397461,0.0003,0.36812424659729004,0.2,19.84655947983265,280,,
60000,,,,,,0.0576171875,0.005802465,-0.0024130328238243237,-0.5224188834428787,10.101126670837402,0.0003,0.3972198963165283,0.2,22.04638098180294,290,271.588,2509.8
61440,63.66710000000001,99,617,526.66,30,,,,,,,,,,,,
63488,69.4305,102,620,545.02,31,0.07900390625,0.006590455,-0.0008595158607931808,-0.5336159200407564,7.687321186065674,0.0003,0.31407827138900757,0.2,22.33852826952934,300,,
65536,75.385,104,624,562.91,32,0.07919921875,0.005784221,-0.0016528587686480023,-0.5279044184833765,10.661779403686523,0.0003,0.31875789165496826,0.2,21.382587772607803,310,,
67584,82.02420000000001,107,627,585.34,33,0.073828125,0.007204575,0.0007775826437864452,-0.5459473205730319,10.513936996459961,0.0003,0.39072996377944946,0.2,19.50383973121643,320,,
69632,86.51750000000001,110,630,597.24,34,0.081201171875,0.009688841,-0.0036907151676132343,-0.5547459305264055,8.49462604522705,0.0003,0.3751681447029114,0.2,20.53482955098152,330,,
70000,,,,,,0.081689453125,0.005330818,0.00011922773846890777,-0.5751266666688025,5.581270694732666,0.0003,0.2528930902481079,0.2,22.770172408223154,340,185.574,2168.4
71680,97.03850000000003,119,602,629.92,35,,,,,,,,,,,,
73728,102.08130000000001,121,605,648.11,36,0.084130859375,0.008903163,-0.0035887017351342366,-0.5445458059199154,8.096211433410645,0.0003,0.2452530860900879,0.2,34.40829275548458,350,,
75776,102.08130000000001,124,609,648.11,37,0.086572265625,0.007958876,-0.0013259413419291378,-0.5532148749567568,10.266983985900879,0.0003,0.4091337323188782,0.2,22.853907960653306,360,,
77824,109.02590000000001,127,612,669.39,38,0.088916015625,0.0051330915,0.0014639521512435749,-0.5638553037308156,8.376325607299805,0.0003,0.2987663149833679,0.2,19.061151498556136,370,,
79872,116.277,129,615,692.11,39,0.108544921875,0.007114678,-0.004295124592317734,-0.5944958598352968,10.064122200012207,0.0003,0.37665116786956787,0.2,21.293573242425918,380,,
80000,,,,,,0.088818359375,0.005979429,-0.0036002204025862737,-0.5772987056523562,12.247102737426758,0.0003,0.21554017066955566,0.2,21.445375499129295,390,356.078,2245.2
81920,123.23470000000002,138,589,713.82,40,,,,,,,,,,,,
83968,131.6209,141,593,734.24,41,0.10361328125,0.008527421,-0.002566003026731778,-0.5658475364558399,9.445173263549805,0.0003,0.33288484811782837,0.2,24.56157069206238,400,,
86016,134.2123,144,596,740.84,42,0.084814453125,0.00717986,-0.0016080255707493051,-0.5504200123250484,10.929824829101562,0.0003,0.3393235206604004,0.2,24.66949980854988,410,,
88064,142.4883,146,599,761.95,43,0.10849609375,0.007530287,-0.0048180222685914485,-0.5740734323859215,7.088063716888428,0.0003,0.3461883068084717,0.2,20.43876816928387,420,,
90000,,,,,,0.075244140625,0.005237869,0.00047733781975694,-0.4548613169230521,17.63102912902832,0.0003,0.40162575244903564,0.2,27.08656925857067,430,482.76000000000005,2168.0
90112,147.50150000000002,155,579,771.25,44,,,,,,,,,,,,
92160,147.50150000000002,158,582,771.25,45,0.085546875,0.011070429,0.0016058871115092188,-0.5083061004988849,13.56007194519043,0.0003,0.36225706338882446,0.2,26.543123829364777,440,,
94208,155.6806,160,585,803.39,46,0.078955078125,0.007980182,0.00027164319180883467,-0.5039810667745769,12.050217628479004,0.0003,0.31548964977264404,0.2,22.163800299167633,450,,
96256,162.5717,163,588,819.91,47,0.097998046875,0.010514609,-0.0028461901849368585,-0.411776518356055,9.527828216552734,0.0003,0.3750725984573364,0.2,19.609573543071747,460,,
98304,169.79839999999996,166,590,844.03,48,0.094384765625,0.01426866,-0.0009141078888205811,-0.5420623914338648,10.600186347961426,0.0003,0.3327789902687073,0.2,24.939655339717866,470,,
100000,,,,,,0.081591796875,0.0063661924,-0.0012439678044756874,-0.3917610615491867,10.621820449829102,0.0003,0.2794759273529053,0.2,20.796033158898354,480,370.24999999999994,2662.6
100352,174.93580000000003,176,568,852.32,49,,,,,,,,,,,,
102400,182.1918,179,571,873.05,50,0.065625,0.0052688257,-0.0009312624169979244,-0.37966035259887576,10.059515953063965,0.0003,0.36966878175735474,0.2,20.98185604214668,490,,
104448,188.99490000000003,182,573,888.88,51,0.059228515625,0.006075817,0.00045307456457521766,-0.36610205471515656,6.5472798347473145,0.0003,0.40536636114120483,0.2,20.21229536831379,500,,
106496,197.17249999999996,184,576,910.94,52,0.070849609375,0.003930629,0.0013726558434427715,-0.3742064579389989,6.173904895782471,0.0003,0.4557139277458191,0.2,17.777964368462563,510,,
108544,205.6546,187,578,932.84,53,0.064794921875,0.004636452,3.9138481952250004e-05,-0.3705133364535868,13.42304515838623,0.0003,0.43554508686065674,0.2,24.17423432171345,520,,
110000,,,,,,0.080029296875,0.008263233,0.000624888387392275,-0.40084939589723945,11.05426025390625,0.0003,0.2861371636390686,0.2,21.148746410012244,530,298.03000000000003,1374.6
110592,213.15579999999997,194,570,950.47,54,,,,,,,,,,,,
